학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000002848,5466888666,대구,대구광역시교육청,대구관천초등학교,1993-09-01,대구광역시 북구 태전동 999-2,대구광역시 북구 구암로22길 17,35.930535,128.5520401,대구광역시 북구,710.0,607.0,552.0,490.0,434.0,366.0,338.0,286.0,270.0,248.0,244.0,214.0,197.0,207.0,191.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9008964900293498,57.01910952371759,-20.123374770821556,-85.44951340131536,-163.3605405032721,-254.0966257040095,-331.5753474767938,-397.5259271383145
B000002813,5549514651,대구,대구광역시교육청,대구북비산초등학교,1972-05-26,대구광역시 서구 비산동 786-1,대구광역시 서구 통학로48길 7,35.88154517,128.5645911,대구광역시 서구,705.0,600.0,518.0,417.0,358.0,338.0,295.0,263.0,259.0,246.0,215.0,197.0,179.0,179.0,156.0,20367,18057,16254,14459,12760,11522,10590,9578,8856,8674,8615,8377,8219,8181,7996,7412,6514,5665,4809,3954,3189,2690,0.9922144900289378,161.66472910111975,125.05606870147989,90.44498553968225,55.54853420105002,20.692849744822723,-10.493815294959575,-30.83648961502672
B000002838,5561022937,대구,대구광역시교육청,대구산격초등학교,1962-04-12,대구광역시 북구 산격동 1409,대구광역시 북구 산격로10길 14,35.89455113,128.6063966,대구광역시 북구,977.0,856.0,753.0,660.0,536.0,480.0,432.0,404.0,494.0,473.0,457.0,404.0,391.0,376.0,319.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.8115499426051115,221.03729274144268,140.50424536795583,72.30689516375787,-9.028473976837176,-103.75258760605038,-184.63665075264691,-253.48588739262038
B000002856,5704165458,대구,대구광역시교육청,대구동평초등학교,2002-03-01,대구광역시 북구 동천동 915-1,대구광역시 북구 동천로 84,35.93900005,128.5608205,대구광역시 북구,1871.0,1779.0,1764.0,1737.0,1658.0,1580.0,1487.0,1407.0,1284.0,1229.0,1139.0,1074.0,992.0,927.0,882.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9907991251739033,714.605821646029,541.5701088157318,395.03924365433454,220.27963829272653,16.75257631487375,-157.03733949787193,-304.9688673409594
B000002898,5928310155,대구,대구광역시교육청,대구감삼초등학교,1985-01-18,대구광역시 달서구 감삼동 196-1,대구광역시 달서구 당산로 123,35.84917998,128.5451459,대구광역시 달서구,747.0,605.0,534.0,461.0,394.0,340.0,328.0,289.0,277.0,263.0,256.0,246.0,227.0,217.0,260.0,44892,44099,42094,38928,35116,33068,31636,30310,30041,30532,31323,31193,31298,31371,30471,28844,26422,24252,21600,18782,16290,14587,0.9643146651426648,204.3438559767044,135.51793242492772,73.853087624203,-1.5087411368671155,-81.58778844029666,-152.4029005340322,-200.79701606197426
B000002852,5948800623,대구,대구광역시교육청,대구학남초등학교,2002-09-01,대구광역시 북구 국우동 1079-1,대구광역시 북구 학정동로 23,35.94624601,128.566272,대구광역시 북구,1834.0,1740.0,1614.0,1424.0,1252.0,1162.0,1116.0,992.0,923.0,866.0,837.0,796.0,730.0,671.0,645.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.932766006264399,373.85411739025676,185.32932680259455,25.68193253159734,-164.72106269454753,-386.46659782536585,-575.8131029423644,-736.986538482128
B000002840,6027630746,대구,대구광역시교육청,대구교동초등학교,1998-03-01,대구광역시 북구 읍내동 1305,대구광역시 북구 관음중앙로34길 4,35.94475315,128.549446,대구광역시 북구,776.0,666.0,605.0,539.0,500.0,481.0,419.0,355.0,324.0,294.0,285.0,239.0,224.0,223.0,204.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9413468054760588,69.76641975709094,-17.472451315564285,-91.3484567071032,-179.45645725495308,-282.06805592011244,-369.68717113816547,-444.2693442282998
B000002790,6041271924,대구,대구광역시교육청,대구범물초등학교,1992-11-01,대구광역시 수성구 범물동 1279-1,대구광역시 수성구 지범로41길 33,35.82148369,128.6448582,대구광역시 수성구,713.0,615.0,520.0,445.0,400.0,366.0,327.0,308.0,274.0,258.0,236.0,213.0,195.0,165.0,155.0,28894,26549,24339,22334,20211,19070,18595,17990,17676,17676,17840,17235,16930,16681,16284,15384,14109,13043,11604,10391,9404,8593,0.9818376306840467,156.36759383439733,102.67341273885734,57.780866034664655,-2.819860707674138,-53.90303064405839,-95.46864377448816,-129.62235425957277
B000002752,6054603576,대구,대구광역시교육청,대구용호초등학교,1999-03-01,대구광역시 동구 방촌동 1113-319,대구광역시 동구 동촌로56길 82,35.8773574,128.672365,대구광역시 동구,1330.0,1176.0,1057.0,936.0,833.0,745.0,705.0,645.0,615.0,554.0,528.0,513.0,479.0,470.0,432.0,25018,23259,22200,20868,19347,18784,18438,17906,17687,17703,17983,17729,17909,18334,18112,17482,16478,15576,14181,12729,11517,10548,0.9552081133843555,513.6609067987645,399.1451652898097,296.26349313734227,137.15048576185245,-28.46391331285099,-166.70403154876044,-277.2276904353912
B000002836,6366940915,대구,대구광역시교육청,북대구초등학교,1984-09-21,대구광역시 북구 산격동 420,대구광역시 북구 동북로37길 68,35.90328492,128.6095212,대구광역시 북구,1038.0,945.0,897.0,773.0,696.0,655.0,622.0,561.0,548.0,527.0,504.0,482.0,460.0,444.0,420.0,33230,32123,32025,31562,30560,30617,30543,29363,28161,27505,26997,25552,24745,24485,23779,22506,20900,19540,17918,16029,14416,13043,0.9085273388563864,282.4871142375122,191.00951600119936,113.54405298663835,21.15509636191905,-86.44215336933541,-178.31847090057602,-256.52441260571754
