학교ID,개방ID,시도명,시도교육청명,학교명,설립일자,소재지지번주소,소재지도로명주소,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2009_해당지역예측학생수,2010_해당지역예측학생수,2011_해당지역예측학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수
B000007419,1633596777,경북,경상북도교육청,울진초등학교,1912-05-25,경상북도 울진군 울진읍 읍내리 479,경상북도 울진군 울진읍 울진중앙로 143,36.99559263,129.4005924,울진군,955.0,893.0,832.0,837.0,780.0,778.0,765.0,744.0,727.0,687.0,671.0,626.0,601.0,587.0,583.0,4308,4019,3676,3391,3051,2805,2533,2374,2250,2197,2211,2158,2182,2167,2128,2035,1912,1800,1627,1449,1330,1242,0.9203883100434547,636.324124834242,619.1982676552193,603.6039911995238,579.5164034599227,554.7326426642637,538.1637239300871,525.9110781434692
B000007168,1639369964,경북,경상북도교육청,북안초등학교,1933-04-01,경상북도 영천시 북안면 고지리 580-2,경상북도 영천시 북안면 운북로 1984,35.91479143,129.0104191,영천시,103.0,99.0,100.0,86.0,79.0,69.0,66.0,63.0,52.0,52.0,44.0,39.0,32.0,23.0,23.0,7489,7058,6444,5805,5222,4848,4744,4541,4564,4655,4726,4661,4596,4584,4388,4170,3867,3810,3661,3477,3378,3259,0.8549412220538319,37.45772799849746,30.386753276036032,29.05656991240467,25.579423926771824,21.285498682768846,18.975180209093324,16.198130730634873
B000007133,1742519140,경북,경상북도교육청,영주서부초등학교,1969-07-05,경상북도 영주시 가흥동 507-6,경상북도 영주시 신재로 12,36.8320289,128.6122128,영주시,653.0,625.0,561.0,526.0,482.0,475.0,475.0,425.0,380.0,361.0,357.0,345.0,313.0,340.0,333.0,7713,7276,6742,6230,5719,5359,5140,4904,4838,4823,4832,4703,4573,4465,4285,4021,3677,3369,3063,2784,2510,2277,0.9673111436227358,302.26897096463574,268.0586026730738,237.42838920272175,206.997073222437,179.25087335805966,152.00191721885045,128.83035962601923
B000006986,1781533479,경북,경상북도교육청,안강제일초등학교,1923-05-27,경상북도 경주시 안강읍 양월리 1146-4,경상북도 경주시 안강읍 안강중앙로 189,35.99441293,129.2210344,경주시,668.0,579.0,525.0,486.0,472.0,461.0,458.0,451.0,429.0,434.0,421.0,397.0,362.0,326.0,324.0,22174,20524,18938,17245,15533,14700,14176,13523,13137,12892,12662,12035,11593,11308,10864,10267,9498,8836,8200,7519,6873,6490,0.9608740046644553,340.54352371171507,321.29141812343937,304.7180840539485,288.7956664282744,271.74666264984035,255.5738925457752,245.98539262339602
B000006942,1848367691,경북,경상북도교육청,곡강초등학교,1935-05-29,경상북도 포항시 북구 흥해읍 용천리 1203,경상북도 포항시 북구 흥해읍 칠포로 7,36.13070709,129.348711,북구,72.0,65.0,51.0,42.0,34.0,24.0,31.0,37.0,34.0,31.0,36.0,34.0,50.0,65.0,73.0,16267,15443,14714,13738,12718,12358,12341,12176,12391,12695,13119,13255,13570,13877,13792,13451,12710,11878,10915,9840,9007,8280,0.8194402726541596,44.75680097580086,36.53160917032427,27.296306090490887,16.606886780539526,4.674253594456744,-4.572149609270653,-12.64193968023082
B000007316,1858475327,경북,경상북도교육청,지품초등학교,1931-03-03,경상북도 영덕군 지품면 신안리 102-3,경상북도 영덕군 지품면 지영로 7-4,36.45028925,129.2813712,영덕군,47.0,52.0,45.0,44.0,45.0,47.0,43.0,34.0,31.0,25.0,22.0,19.0,16.0,17.0,22.0,2336,2170,1977,1814,1657,1633,1564,1502,1520,1479,1426,1340,1327,1311,1223,1219,1153,1129,1069,959,904,777,0.8306584262966981,20.861636746177844,18.702647820371375,17.91756093825994,15.954843732981331,12.35652885663723,10.557371418465177,6.402953333958802
B000007117,1886815011,경북,경상북도교육청,선산초등학교,1908-06-30,경상북도 구미시 선산읍 동부리 545-1,경상북도 구미시 선산읍 선산중앙로 87-4,36.24392309,128.3013276,구미시,1088.0,947.0,849.0,722.0,590.0,538.0,538.0,520.0,575.0,609.0,617.0,606.0,593.0,593.0,567.0,36989,35468,33905,32146,30321,29861,29714,28940,28819,29154,29685,29256,29336,29708,29218,27866,25840,23941,21719,19368,17283,15417,0.9759197228760333,475.89099918596935,347.8778724233737,227.88926051707085,87.49184311011732,-61.05645946582672,-192.79751045299963,-310.70101219979324
B000007153,1901196479,경북,경상북도교육청,영화초등학교,1963-06-29,경상북도 영천시 화룡동 196-1,경상북도 영천시 영화새싹길 22,35.96520959,128.9222042,영천시,303.0,257.0,229.0,203.0,156.0,138.0,121.0,111.0,103.0,99.0,99.0,86.0,74.0,58.0,59.0,7489,7058,6444,5805,5222,4848,4744,4541,4564,4655,4726,4661,4596,4584,4388,4170,3867,3810,3661,3477,3378,3259,0.9699028954632901,63.120245746498114,41.04693461609142,36.894529551955515,26.039997015880914,12.635742072003552,5.423670118504333,-3.2453860680250273
B000007111,1937222301,경북,경상북도교육청,금오초등학교,1974-07-01,경상북도 구미시 원평동 504,경상북도 구미시 산책길 19,36.12344066,128.334752,구미시,1399.0,1384.0,1334.0,1233.0,1113.0,1080.0,1063.0,1019.0,997.0,1015.0,1060.0,1008.0,1027.0,1028.0,990.0,36989,35468,33905,32146,30321,29861,29714,28940,28819,29154,29685,29256,29336,29708,29218,27866,25840,23941,21719,19368,17283,15417,0.9805198802062501,952.4089448444711,840.3094127048682,735.2368502502254,612.2925459984001,482.210611121694,366.8465812544322,263.5999243084799
B000007211,1972986876,경북,경상북도교육청,모전초등학교,1997-03-01,경상북도 문경시 모전동 674-1,경상북도 문경시 매봉로 75,36.59189499,128.180954,문경시,1523.0,1476.0,1350.0,1258.0,1117.0,1049.0,1012.0,956.0,1014.0,997.0,1041.0,1017.0,1003.0,1040.0,1028.0,4398,4120,3798,3444,3079,2876,2762,2760,2846,3007,3217,3275,3342,3365,3263,3040,2737,2503,2299,2073,1897,1721,0.9087241186014394,1033.9545574845188,928.7876707859199,847.5696790780911,776.7642504097275,698.3229421790895,637.2359056808934,576.1488691826975
B000007242,1987501919,경북,경상북도교육청,하양초등학교,1911-09-01,경상북도 경산시 하양읍 금락리 133-2,경상북도 경산시 하양읍 대학로305길 25,35.91296227,128.8195828,경산시,1431.0,1322.0,1214.0,1105.0,974.0,858.0,787.0,750.0,749.0,765.0,768.0,757.0,719.0,681.0,621.0,20333,19211,17948,16572,15359,15063,14898,14895,14921,15246,15492,15109,15076,15064,15150,14678,13877,13065,11915,10847,9638,8726,0.9412819709023226,717.1672311377679,608.2002693745053,497.7368824184887,341.2924304487608,196.0031480977441,31.532415548699873,-92.53483679598867
