name,event-title,date,short-score,free-score,final-score,short-PCS,free-PCS
jpn-akiko_suzuki,GPF,2011-12-07,61.3,118.46,179.76,30.22,61.93
ita-carolina_kostner,GPF,2011-12-07,66.43,121.05,187.48,32.17,65.22
rus-julia_lipnitskaia,JGP Final,2011-12-08,59.98,119.75,179.73,26.43,56.24
fra-maeberenice_meite,Europeans,2012-01-23,49.86,87.47,137.33,21.74,43.53
ita-carolina_kostner,Europeans,2012-01-23,63.22,120.33,183.55,30.95,64.04
jpn-mao_asada,4CC,2012-02-07,64.25,124.37,188.62,30.14,61.42
usa-ashley_wagner,4CC,2012-02-07,64.07,128.34,192.41,29.43,61.73
jpn-mao_asada,Worlds,2012-03-26,59.49,105.03,164.52,29.6,60.02
usa-ashley_wagner,Worlds,2012-03-26,56.42,120.35,176.77,27.62,57.44
jpn-akiko_suzuki,Worlds,2012-03-26,59.38,121.3,180.68,28.71,59.24
ita-carolina_kostner,Worlds,2012-03-26,61,128.94,189.94,30.74,65.72
jpn-akiko_suzuki,GPF,2012-12-06,65,115.77,180.77,30.37,60.98
usa-ashley_wagner,GPF,2012-12-06,66.44,115.49,181.93,31.49,62.56
jpn-mao_asada,GPF,2012-12-06,66.96,129.84,196.8,31.94,66.39
fra-maeberenice_meite,Europeans,2013-01-23,50.79,96.35,147.14,24.3,46.98
rus-adelina_sotnikova,Europeans,2013-01-23,67.61,126.38,193.99,30.36,63.99
ita-carolina_kostner,Europeans,2013-01-23,64.19,130.52,194.71,31.83,70.28
usa-gracie_gold,4CC,2013-02-08,60.36,106.3,166.66,28.25,56.73
jpn-akiko_suzuki,4CC,2013-02-08,65.65,124.43,190.08,30.94,64.33
jpn-mao_asada,4CC,2013-02-08,74.49,130.96,205.45,33.86,67.76
jpn-akiko_suzuki,Worlds,2013-03-11,61.17,103.42,164.59,30.46,59.93
fra-maeberenice_meite,Worlds,2013-03-11,56.9,108.13,165.03,26.15,52.51
rus-adelina_sotnikova,Worlds,2013-03-11,59.62,116.36,175.98,28.65,60.63
usa-gracie_gold,Worlds,2013-03-11,58.85,125.4,184.25,28.62,60.18
usa-ashley_wagner,Worlds,2013-03-11,63.98,123.36,187.34,30.92,63.02
jpn-mao_asada,Worlds,2013-03-11,62.1,134.37,196.47,32.4,68.41
ita-carolina_kostner,Worlds,2013-03-11,66.86,131.03,197.89,33.85,70.69
kor-yuna_kim,Worlds,2013-03-11,69.97,148.34,218.31,33.18,73.61
usa-polina_edmunds,JGP Final,2013-12-05,48.2,113.51,161.71,24.57,50.56
rus-adelina_sotnikova,GPF,2013-12-05,68.38,104.92,173.3,30.85,60.47
usa-ashley_wagner,GPF,2013-12-05,68.14,119.47,187.61,31.75,64.41
rus-julia_lipnitskaia,GPF,2013-12-05,66.62,125.45,192.07,29.78,60.52
jpn-mao_asada,GPF,2013-12-05,72.36,131.66,204.02,34.91,68.79
fra-maeberenice_meite,Europeans,2014-01-13,58.64,114.73,173.37,27.06,58.2
ita-carolina_kostner,Europeans,2014-01-13,68.97,122.42,191.39,33.68,71.02
rus-adelina_sotnikova,Europeans,2014-01-13,70.73,131.63,202.36,33.58,69.6
rus-julia_lipnitskaia,Europeans,2014-01-13,69.97,139.75,209.72,31.91,68
fra-maeberenice_meite,Olympics,2014-02-11,58.63,115.9,174.53,27.8,56.04
usa-polina_edmunds,Olympics,2014-02-11,61.04,122.21,183.25,28.06,60.19
jpn-akiko_suzuki,Olympics,2014-02-11,60.97,125.35,186.32,32.26,65.78
usa-ashley_wagner,Olympics,2014-02-11,65.21,127.99,193.2,33.78,66.92
jpn-mao_asada,Olympics,2014-02-11,55.51,142.71,198.22,33.88,69.68
rus-julia_lipnitskaia,Olympics,2014-02-11,65.23,135.34,200.57,33.08,70.06
usa-gracie_gold,Olympics,2014-02-11,68.63,136.9,205.53,32.08,68.33
ita-carolina_kostner,Olympics,2014-02-11,74.12,142.61,216.73,36.63,73.77
kor-yuna_kim,Olympics,2014-02-11,74.92,144.19,219.11,35.89,74.5
rus-adelina_sotnikova,Olympics,2014-02-11,74.64,149.95,224.59,35.55,74.41
fra-maeberenice_meite,Worlds,2014-03-24,61.62,97.1,158.72,28.52,51.65
usa-polina_edmunds,Worlds,2014-03-24,60.59,126.91,187.5,28.52,60.52
usa-ashley_wagner,Worlds,2014-03-24,63.64,129.52,193.16,30.84,65.88
jpn-akiko_suzuki,Worlds,2014-03-24,71.02,122.7,193.72,33.68,67.13
usa-gracie_gold,Worlds,2014-03-24,70.31,124.27,194.58,32.74,66.69
ita-carolina_kostner,Worlds,2014-03-24,77.24,126.59,203.83,37.46,73.78
rus-julia_lipnitskaia,Worlds,2014-03-24,74.54,132.96,207.5,33.71,68.39
jpn-mao_asada,Worlds,2014-03-24,78.66,138.03,216.69,35.85,72.76
