,Ticker,Name,종목명 (Full),기업명 (한글),거래소 업종,거래소 업종코드,결산월,회계년,자기자본비율(%),차입금의존도(%),매출액증가율(%),영업이익률(%),총자본회전율(%),부채 상환능력(%),당좌비율(%),ROA(당기순이익)(%),"신용등급 (채권, NICE)","신용등급 (CP, NICE)",ESG등급,환경,사회,지배구조,시가총액(천원),WACC(시가총액평균)(%)
1348,A017810,풀무원,풀무원보통주,(주)풀무원,코스피 음식료·담배,I.005,12,2020,77.73,17.69,37.37496720048401,18.7,23.0,17.45605802806412,157.46237312301608,2.52,,,A+,A,A+,A+,630895000.0,5.65
1349,A017810,풀무원,풀무원보통주,(주)풀무원,코스피 음식료·담배,I.005,12,2021,74.74,18.34,7.305657526979514,20.94,23.0,18.855533900995354,88.54985182284432,2.69,,,A,B+,A+,A,659485000.0,5.45
1350,A017810,풀무원,풀무원보통주,(주)풀무원,코스피 음식료·담배,I.005,12,2022,75.75,17.27,5.898442551352012,22.25,25.0,21.078651358143276,89.23663432908504,1.23,,,A,A,A+,A,426950000.0,8.1
1351,A017810,풀무원,풀무원보통주,(주)풀무원,코스피 음식료·담배,I.005,12,2023,66.49,27.4,2.153624247161412,19.55,28.000000000000004,14.318993907863097,19.224309201659484,0.27,,,A,A,A+,A,399884000.0,4.9
2640,A017900,광전자,광전자보통주,광전자(주),코스피 전기·전자,I.013,12,2020,84.83,0.05,-9.103104698547737,-6.27,69.0,9.631858418214422,462.2616634304612,-6.09,,,B,C,B,B+,136168000.0,8.38
2641,A017900,광전자,광전자보통주,광전자(주),코스피 전기·전자,I.013,12,2021,88.49,0.05,11.152483544420866,5.2,78.0,2.3663892503603803,428.5847939414646,3.74,,,D,D,D,C,188897000.0,8.63
2642,A017900,광전자,광전자보통주,광전자(주),코스피 전기·전자,I.013,12,2022,91.73,0.01,-6.705108017621364,4.03,69.0,84.2113107866593,551.8740402441977,5.58,,,D,C,D,D,126607000.0,11.26
2643,A017900,광전자,광전자보통주,광전자(주),코스피 전기·전자,I.013,12,2023,92.0,0.01,-18.573169918135456,-3.23,53.0,95.91816736798032,593.2320585490683,0.08,,,C,C,D,C,121102000.0,9.17
1280,A017940,E1,E1보통주,(주)이원,코스피 유통,I.016,12,2020,44.84,36.97,-14.6265196941195,1.97,260.0,9.890073950437142,73.06472298546207,2.61,A+,A1,B+,B+,A,B+,306299000.0,2.74
1281,A017940,E1,E1보통주,(주)이원,코스피 유통,I.016,12,2021,44.42,36.98,32.81205052673797,-0.04,329.0,2.3976530595422143,85.20270313039254,2.54,A+,A1,B+,B+,B+,B+,330652000.0,2.53
1282,A017940,E1,E1보통주,(주)이원,코스피 유통,I.016,12,2022,43.82,35.4,60.45041255682837,3.51,494.00000000000006,0.41126379955576725,79.15566427705878,3.99,A+,A1,A,A,A,B+,311787000.0,2.91
1283,A017940,E1,E1보통주,(주)이원,코스피 유통,I.016,12,2023,45.45,37.73,-2.3795101103417204,1.05,438.99999999999994,18.33857161075189,73.9900146152738,5.25,A+,A1,A,A,A+,B+,427378000.0,3.44
