Ticker,Name,거래소업종,회계년,자기자본비율,차입금의존도,매출액증가율,영업이익률,총자본회전율,부채상환능력,당좌비율,ROA당기순이익,ESG등급_A,ESG등급_A+,ESG등급_B,ESG등급_B+,ESG등급_C,환경_A,환경_A+,환경_B,환경_B+,환경_C,사회_A,사회_A+,사회_B,사회_B+,사회_C,지배구조_A,지배구조_A+,지배구조_B,지배구조_B+,지배구조_C,log_당좌비율
A004840,DRB동일,코스피 화학,2020,66.54,27.82,-4.449081173532054,4.15,50.0,14.037089939355498,113.54149817035233,0.53,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4.740937186768003
A004910,조광페인트,코스피 화학,2020,57.19,25.79,-0.8378135520001662,-2.13,109.0,10.058053159774436,48.67861128511205,0.46,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.905574484036298
A004960,한신공영,코스피 건설,2020,37.22,30.18,-2.646574644771704,6.06,277.0,13.179269963292208,116.80010019316842,6.82,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4.768989121753359
A004970,신라교역,코스피 농업·임업 및 어업,2020,85.02,7.0,-4.484179308322556,-3.19,61.0,1.0506366583362765,208.972218500756,0.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5.346975229112454
A004980,성신양회,코스피 비금속,2020,42.96,32.8,-6.19279601065732,5.25,123.0,10.530272425697342,53.6506623133956,1.08,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4.000961333732928
A005010,휴스틸,코스피 금속,2020,72.34,20.22,-24.4835555369033,-0.6,84.0,17.721330381068917,108.23464465983685,-1.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4.693498271784591
A005070,코스모신소재,코스피 화학,2020,48.8,23.14,-16.257102944172217,6.09,125.0,-1.0128019726766928,82.63879507904187,3.74,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,4.426507468419384
A005180,빙그레,코스피 음식료·담배,2020,82.63,1.61,5.870529321987084,4.67,157.0,63.58081792345159,218.9376172035996,5.85,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,5.393343947976687
A005300,롯데칠성,코스피 음식료·담배,2020,38.43,45.6,-7.73338659373165,4.5,172.0,14.108144170483214,73.39296193437274,-0.5,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4.309361339708126
A005380,현대차,코스피 운송장비·부품,2020,67.97,8.65,3.062328914781043,1.52,95.0,24.31148055081875,121.79175872210062,0.69,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4.810489902077427
A005440,현대지에프홀딩스,코스피 금융,2020,79.46,3.52,-1.9593281307173749,2.98,109.0,11.833100715478652,196.39272022716307,2.18,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5.285195248037512
A005490,POSCO홀딩스,코스피 금속,2020,79.43,14.2,-12.720262488587132,4.28,57.99999999999999,44.15713280150821,304.299217254004,1.72,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5.721292335879059
A005610,SPC삼립,코스피 음식료·담배,2020,31.54,47.62,6.624799418800631,3.53,412.0,15.359382051190169,38.91157833097495,-1.09,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.6866664655343695
A005720,넥센,코스피 화학,2020,85.46,5.33,0.3236497003946015,6.5,61.0,30.52909652513668,144.59676521921264,2.91,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4.980840918614774
A005750,대림B&Co,코스피 비금속,2020,48.6,27.3,-1.8830296052782969,0.61,145.0,15.907380254388952,110.58092057181246,-0.63,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4.714750072713269
A005800,신영와코루,코스피 섬유·의류,2020,85.13,5.86,0.3211424967892506,0.25,56.99999999999999,16.51188409202042,271.011422227626,0.85,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.605844058898215
A005810,풍산홀딩스,코스피 금융,2020,89.58,0.06,-11.141446130219244,3.18,21.0,15.11506410447384,317.5208399734517,0.75,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,5.763687904499454
A005850,에스엘,코스피 운송장비·부품,2020,76.33,0.0,23.61636145550625,5.98,147.0,53.77945751732302,276.4731005396148,5.8,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5.62572399349561
A005870,휴니드,코스피 전기·전자,2020,48.38,5.67,3.39089168822746,5.48,171.0,27.64528730643312,69.2729751636412,2.49,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,4.252387303337879
A005880,대한해운,코스피 운송·창고,2020,28.01,59.95,-17.475462470590053,19.14,80.0,12.17847489628827,25.54653959516878,-1.8,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3.2788994037950125
A005960,동부건설,코스피 건설,2020,60.6,5.5,-0.7023473911370592,5.22,243.00000000000003,-2.4248430112386,152.6713263125686,6.4,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,5.034816076944088
A006040,동원산업,코스피 금융,2020,46.15,45.67,-0.154034236521372,7.94,98.0,11.452248266136069,56.0512709175302,4.93,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,4.043950353317272
A006090,사조오양,코스피 음식료·담배,2020,57.98,22.28,4.4724272866278,8.16,186.0,23.720158183961463,62.08835883370366,5.86,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4.144536264947267
A006110,삼아알미늄,코스피 금속,2020,53.25,32.6,7.246090525041171,5.13,142.0,11.774234709382464,44.902498897005714,1.69,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3.826519557785137
A006280,녹십자,코스피 제약,2020,59.07,27.99,7.1256906183666535,3.42,114.0,6.422928676654298,110.74986583449484,2.96,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,4.716263032906782
