조사년도,학교명,시도명,지역명,학제유형명,고등교육학교_입학생수,6학년재적학생수,5학년재적학생수,4학년재적학생수,3학년재적학생수,2학년재적학생수,1학년재적학생수
2009,부산교육대학교,부산,부산 연제구,교육대학,525,0,0,634,583,566,533
2009,서울신학대학교,경기,경기 부천시,대학,593,0,0,724,733,773,742
2009,인천가톨릭대학교,인천,인천 강화군,대학,205,0,0,85,154,119,218
2009,한국성서대학교,서울,서울 노원구,대학,268,0,0,259,296,352,354
2009,광주대학교,광주,광주 남구,대학,1527,0,0,1447,1742,2780,1564
2009,명신대학교,전남,전남 순천시,대학,178,0,0,234,259,136,202
2009,단국대학교,경기,경기 용인시,대학,2678,0,44,3890,3538,4205,4424
2009,단국대학교,충남,충남 천안시,대학,2898,0,0,3818,3777,4786,4933
2009,동서대학교,부산,부산 사상구,대학,2867,0,20,3312,3161,5857,3741
2009,신라대학교,부산,부산 사상구,대학,2645,0,0,2915,2733,3361,4966
2009,안동대학교,경북,경북 안동시,대학,1724,0,0,2041,2053,2948,3301
2009,한라대학교,강원,강원 원주시,대학,1064,0,0,600,788,1572,2443
2009,가톨릭대학교,경기,경기 부천시,대학,1801,0,0,3355,2311,2533,2018
2009,가톨릭대학교,서울,서울 서초구,대학,71,0,0,185,201,239,147
2009,가톨릭대학교,서울,서울 종로구,대학,53,0,0,48,142,88,55
2009,강원대학교,강원,강원 삼척시,대학,1829,0,0,1358,1715,3006,3615
2009,강원대학교,강원,강원 춘천시,대학,3639,0,36,5622,5531,6815,4185
2009,한림대학교,강원,강원 춘천시,대학,2085,0,0,2297,2772,3901,2691
2009,서울시립대학교,서울,서울 동대문구,대학,1925,0,43,2665,2827,3761,3160
2009,감리교신학대학교,서울,서울 서대문구,대학,211,0,0,271,367,341,234
2009,삼척대학교2,강원,강원 삼척시,산업대학,0,0,13,0,0,0,0
2009,대구한의대학교,경북,경북 경산시,대학,1776,0,0,1764,1824,2560,3515
2009,영산대학교,경남,경남 양산시,대학,743,0,0,314,596,1402,1157
2009,영산대학교,부산,부산 해운대구,대학,539,0,0,253,503,1093,743
2009,건양대학교,대전,대전 서구,대학,354,0,0,319,351,448,439
2009,건양대학교,충남,충남 논산시,대학,1787,0,0,2053,2293,3392,1898
2009,덕성여자대학교,서울,서울 도봉구,대학,1436,0,0,2170,1699,1443,1455
2009,호남대학교,광주,광주 광산구,대학,1925,0,0,1953,2228,3053,2455
2009,세명대학교,충북,충북 제천시,대학,2317,0,0,2236,2788,4534,2888
2009,경일대학교,경북,경북 경산시,대학,1133,0,15,1268,1306,3193,1446
2009,영동대학교,충북,충북 영동군,대학,856,0,0,547,797,1421,1664
2009,부산외국어대학교,부산,부산 남구,대학,2382,0,0,2753,3127,4368,3048
2009,경희대학교,경기,경기 용인시,대학,2782,0,0,4733,3927,5206,4087
2009,경희대학교,서울,서울 동대문구,대학,2922,0,0,4789,4144,4733,3932
2009,동덕여자대학교,서울,서울 성북구,대학,1861,0,0,2778,2079,1832,1832
2009,동원산업대학교,제주,제주 서귀포시,산업대학,0,0,0,0,0,0,1
2009,한남대학교,대전,대전 대덕구,대학,3232,0,25,3808,3905,6174,3524
2009,진주교육대학교,경남,경남 진주시,교육대학,472,0,0,560,500,493,485
2009,청주대학교,충북,충북 청주시,대학,3385,0,32,4476,4323,6063,4829
2009,동명정보대학교,부산,부산 남구,산업대학,0,0,0,1189,864,806,905
2009,평택대학교,경기,경기 평택시,대학,1062,0,0,1139,1275,1524,1228
2009,대불대학교,전남,전남 영암군,대학,1230,0,0,1000,1089,1850,1399
2009,한국기술교육대학교,충남,충남 천안시,대학,958,0,14,1507,1190,2129,1099
2009,세종대학교,서울,서울 광진구,대학,2644,0,43,3605,3877,4120,4316
2009,광주교육대학교,광주,광주 북구,교육대학,463,0,0,539,489,478,472
2009,청주교육대학교,충북,충북 청주시,교육대학,439,0,0,477,446,428,443
2009,대전대학교,대전,대전 동구,대학,2604,0,23,2508,2513,3936,5261
2009,한동대학교,경북,경북 포항시,대학,809,0,0,1297,1254,1458,1240
2009,우송대학교,대전,대전 동구,대학,2368,0,0,0,0,0,2361
2009,배재대학교,대전,대전 서구,대학,2577,0,25,2556,2871,4536,3238
2009,목원대학교,대전,대전 서구,대학,2552,0,24,2627,2932,4766,3211
2009,서울교육대학교,서울,서울 서초구,교육대학,503,0,0,581,581,539,522
2009,호서대학교,충남,충남 아산시,대학,3467,0,27,3224,3390,5649,6053
2009,군산대학교,전북,전북 군산시,대학,2089,0,0,2421,2748,4553,2679
2009,숙명여자대학교,서울,서울 용산구,대학,2511,0,0,3597,3547,2654,2798
2009,남서울대학교,충남,충남 천안시,산업대학,2866,0,0,3193,3839,5434,3730
2009,충주대학교,충북,충북 충주시,산업대학,2156,0,12,2683,3010,4207,3353
2009,명지대학교,경기,경기 용인시,대학,1906,0,123,2775,2493,3719,2270
2009,명지대학교,서울,서울 서대문구,대학,1510,0,0,2869,2819,2683,1777
2009,춘천교육대학교,강원,강원 춘천시,교육대학,471,0,0,570,538,480,480
2009,목포해양대학교,전남,전남 목포시,대학,658,0,0,682,668,891,873
2009,서울한영대학교,서울,서울 구로구,대학,205,0,0,228,255,257,243
2009,중원대학교,충북,충북 괴산군,대학,222,0,0,0,0,0,221
2009,한국항공대학교,경기,경기 고양시,대학,987,0,0,1378,1492,1702,2031
2009,원광대학교,전북,전북 익산시,대학,4573,0,31,5263,5698,8515,5691
2009,경상국립대학교,경남,경남 진주시,대학,3539,0,35,4897,4622,7621,4309
2009,영남신학대학교,경북,경북 경산시,대학,110,0,0,202,168,209,133
2009,밀양대학교,경남,경남 밀양시,산업대학,0,0,0,1,7,7,4
2009,이화여자대학교,서울,서울 서대문구,대학,3344,0,40,7125,4068,3332,3399
2009,고신대학교,부산,부산 영도구,대학,1027,0,0,1122,1091,1604,1354
2009,경남과학기술대학교,경남,경남 진주시,산업대학,1435,0,0,1868,1973,1822,2984
2009,순천향대학교,충남,충남 아산시,대학,2771,0,0,3286,3682,5274,2984
2009,한국체육대학교,서울,서울 송파구,대학,605,0,0,752,796,908,624
2009,남부대학교,광주,광주 광산구,대학,730,0,0,501,656,747,1146
2009,초당대학교,전남,전남 무안군,산업대학,884,0,0,1347,1347,1266,1273
2009,상주대학교,경북,경북 상주시,산업대학,0,0,0,1421,1410,2202,1525
