학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,2024년_예측_학생수,2025년_예측_학생수,2026년_예측_학생수,2027년_예측_학생수,2028년_예측_학생수,2029년_예측_학생수,2030년_예측_학생수,2031년_예측_학생수,2032년_예측_학생수,2033년_예측_학생수,2034년_예측_학생수,2035년_예측_학생수,2036년_예측_학생수,2037년_예측_학생수,2038년_예측_학생수,2039년_예측_학생수
삼산고등학교 (울산),울산광역시 남구 삼산동 1535-4,9316675066,35.545257,129.3413314,울산광역시 남구,993,973,952,954,938,913,887,862,838,737,654,600,599,615,633,14805.0,14527.0,13779.0,12730.0,11409.0,10576.0,10019.0,9512.0,9454.0,9362.0,9323.0,9206.0,9362.0,9671.0,9629.0,9638.0,9472.0,9205.0,8425.0,7326.0,6346.0,5638.0,5220.0,4871.0,4539.0,579.3078456618105,577.2133151704033,570.929723696182,579.3078456618105,595.9029718629591,593.6473236414438,594.1306768317685,585.2154957657792,570.8760177861459,528.9854079580037,469.9626128283521,417.330820992994,379.30703668744957,356.85796629236825,338.11460368977646,320.28424155779794
삼산고등학교 (인천),인천광역시 부평구 삼산동 391-2,4090472340,37.52161093,126.7458927,인천광역시 부평구,1349,1305,1239,1144,1047,979,941,903,847,742,652,624,601,584,660,22635.0,21935.0,21479.0,20251.0,18913.0,17729.0,16975.0,16415.0,16885.0,17090.0,16859.0,16133.0,15766.0,15708.0,15251.0,15131.0,14814.0,14477.0,13300.0,11958.0,10398.0,8952.0,7541.0,6791.0,6564.0,610.1392813288196,597.4894934111928,557.7330170986513,537.635734995755,534.4595977696843,509.4338268677126,502.8625084689453,485.5032756988687,467.0488231956642,402.5951419010894,329.10589780820976,243.67875862423637,164.4943719190918,87.22661974692102,46.155879754626085,33.725135783624864
삼성고등학교 (서울),서울특별시 관악구 신림동 222,4127253472,37.46913998,126.943644,서울특별시 관악구,1090,1054,994,871,795,719,664,614,580,524,446,403,400,363,308,23336.0,22304.0,20827.0,19365.0,17706.0,17020.0,16622.0,16172.0,16209.0,16267.0,15845.0,14880.0,14303.0,14063.0,13465.0,12807.0,12171.0,11592.0,10452.0,9074.0,7758.0,6732.0,5857.0,5227.0,4811.0,365.0288758685675,346.50118222269225,304.133351966129,278.80046278681607,268.26338583181587,242.00850241894045,213.11934976731493,185.19609583656438,159.77539768262648,109.72428214637557,49.2238986297495,-8.554406673501546,-53.60041065612734,-92.01683705456549,-119.67666406144099,-137.9409307834413
삼성생활예술고등학교 (경북),경상북도 경주시 내남면 이조리 585,5843293786,35.75247154,129.1993527,경주시,208,244,243,241,241,238,247,243,241,224,207,196,190,190,182,12273.0,11904.0,11095.0,9901.0,8620.0,7843.0,7344.0,6913.0,6857.0,6832.0,6610.0,6280.0,6060.0,6052.0,5755.0,5533.0,5256.0,5109.0,4734.0,4242.0,3727.0,3466.0,3277.0,3146.0,3024.0,185.32049464536595,182.6881152032364,178.77511873520598,176.16645442318568,176.0715939027486,172.54989708152118,169.91751763939163,166.63297211925698,164.88991005622523,160.44332316073613,154.60940115385438,148.50275515071598,145.40793067145555,143.16685087612902,141.6135098539715,140.1668869173057
삼성여자고등학교 (부산),부산광역시 사하구 감천동 598-1,8040947794,35.09422497,128.9982328,부산광역시 사하구,1848,1816,1642,1496,1374,1346,1252,1143,997,893,816,778,773,734,719,15158.0,14376.0,13255.0,11931.0,10580.0,9871.0,9233.0,8970.0,8864.0,9125.0,9171.0,9136.0,9257.0,9511.0,9309.0,8794.0,8271.0,7818.0,7159.0,6291.0,5419.0,4681.0,4006.0,3652.0,3401.0,727.6539360278706,731.2128914539364,728.5049905862777,737.8665907287551,757.5182141683359,741.8897577321338,702.0449306794405,661.5811548569967,626.5331807698705,575.5472758616668,508.39133434372934,440.92591844091663,383.8278944314261,331.60409198372133,304.21560892225835,284.79609127133403
삼성여자고등학교 (제주),제주특별자치도 서귀포시 토평동 893,9915517926,33.25435707,126.5835744,서귀포시,749,753,748,741,736,712,703,708,701,654,594,574,560,562,595,7140.0,7039.0,6680.0,6150.0,5280.0,4852.0,4647.0,4716.0,4823.0,4771.0,4590.0,4342.0,4210.0,4099.0,3828.0,3602.0,3518.0,3647.0,3720.0,3520.0,3335.0,3031.0,2833.0,2585.0,2377.0,572.2173517230483,561.4056046983519,546.5917192722484,538.7069092873868,532.076500891026,515.8887470584693,502.3889966298428,497.37139027584,505.07700003377283,509.43753888903717,497.49085709379244,486.440176433191,468.281220104419,456.4540051271267,441.6401197010232,429.2155706339687
삼일고등학교 (강원),강원특별자치도 삼척시 남양동 185 번지,6259790956,37.432476,129.1652028,삼척시,285,293,289,274,297,302,295,295,262,239,213,218,217,216,219,2636.0,2718.0,2570.0,2311.0,1970.0,1814.0,1647.0,1560.0,1526.0,1496.0,1455.0,1410.0,1416.0,1473.0,1431.0,1376.0,1275.0,1220.0,1139.0,1059.0,1044.0,1065.0,1011.0,940.0,858.0,203.88740517774357,201.25889771000294,198.37395048931197,198.7586101187374,202.4128765982793,199.72025919230106,196.19421258923433,189.71910882723904,186.1930622241723,181.0001572269286,175.87136216792243,174.90971309435875,176.25602179734787,172.79408513251872,168.24227951765073,162.9852645821694
삼일고등학교 (경기),경기도 수원시 팔달구 매향동 10-22,4247272133,37.28638393,127.0196791,팔달구,1380,1341,1290,1268,1240,1172,1099,1021,1003,996,991,959,912,867,837,15400.0,17361.0,17385.0,16584.0,12964.0,9997.0,7244.0,6840.0,6701.0,6761.0,6552.0,6278.0,6022.0,6083.0,5795.0,5527.0,5109.0,4793.0,4300.0,3710.0,3035.0,2544.0,2348.0,2466.0,2685.0,882.377896545644,879.2462912380969,875.1407416961451,871.3048997883361,872.2189089929312,867.9035868466461,863.8879398494087,857.6247292343143,852.8898618793626,845.5028694553398,836.6624525584364,826.5484162780806,819.1913913689626,816.2545749082964,818.0226582876771,821.304101169748
삼일공업고등학교 (경기),경기도 수원시 팔달구 매향동 10-22,7079689681,37.28554473,127.0205555,팔달구,1665,1641,1571,1542,1506,1420,1335,1261,1192,1174,1136,1066,995,982,996,15400.0,17361.0,17385.0,16584.0,12964.0,9997.0,7244.0,6840.0,6701.0,6761.0,6552.0,6278.0,6022.0,6083.0,5795.0,5527.0,5109.0,4793.0,4300.0,3710.0,3035.0,2544.0,2348.0,2466.0,2685.0,991.8067067107563,986.7077770015845,980.0230557560675,973.7774767821538,975.2656811470316,968.2394048013787,961.7010643130627,951.5032048947193,943.7938183487945,931.7661994654371,917.3720916739953,900.9042564888712,888.9254311912476,884.1436597893448,887.0224813476333,892.3653789854735
삼일여자고등학교 (울산),울산광역시 남구 선암동 650-6,7639456510,35.51593104,129.316772,울산광역시 남구,1306,1240,1215,1213,1170,1087,989,871,805,721,628,562,347,142,0,14805.0,14527.0,13779.0,12730.0,11409.0,10576.0,10019.0,9512.0,9454.0,9362.0,9323.0,9206.0,9362.0,9671.0,9629.0,9638.0,9472.0,9205.0,8425.0,7326.0,6346.0,5638.0,5220.0,4871.0,4539.0,195.38799840027968,189.67018646565907,172.51675066179678,195.38799840027968,240.69066218996727,234.53301856806797,235.85251362990357,211.51516026715876,172.3701400993707,58.01390140695548,-103.11110669940877,-246.78945787705845,-350.589736074789,-411.8729511689294,-463.0400374556639,-511.7147441811534
삼정고등학교 (부산),부산광역시 북구 구포동 1251-1,8141421198,35.19360082,129.010028,부산광역시 북구,1062,1063,1085,998,901,807,807,857,816,737,639,602,558,498,485,12307.0,11894.0,11313.0,10325.0,9375.0,8976.0,8812.0,8310.0,8094.0,7816.0,7465.0,7096.0,6938.0,7264.0,7302.0,7379.0,7198.0,7210.0,6927.0,6327.0,5378.0,4537.0,3976.0,3829.0,3723.0,481.90980117103334,451.3098673707656,419.14070619612505,405.36637702107566,433.786828356937,437.0996417028349,443.812447693207,428.0329946509037,429.07914623381885,404.4074047367368,352.0998255909798,269.36667124210754,196.04888113947152,147.14129463818875,134.3259377474783,125.08493209839457
삼척고등학교 (강원),강원특별자치도 삼척시 당저동 57 번지,7558408737,37.44582388,129.1640652,삼척시,597,586,602,608,580,574,570,558,501,468,405,382,352,359,375,2636.0,2718.0,2570.0,2311.0,1970.0,1814.0,1647.0,1560.0,1526.0,1496.0,1455.0,1410.0,1416.0,1473.0,1431.0,1376.0,1275.0,1220.0,1139.0,1059.0,1044.0,1065.0,1011.0,940.0,858.0,340.0635553364004,333.01239268873235,325.2733117339749,326.30518919460917,336.1080250706354,328.88488284619507,319.4260061237136,302.05606886970224,292.5971921472208,278.66684642865727,264.90848028686605,262.32878663528027,265.94035774750046,256.6534606017914,244.44291065095172,230.34058535561576
삼척여자고등학교 (강원),강원특별자치도 삼척시 남양동 124 번지,4356342017,37.43769515,129.1652714,삼척시,665,680,719,700,700,697,667,641,564,531,497,491,479,449,420,2636.0,2718.0,2570.0,2311.0,1970.0,1814.0,1647.0,1560.0,1526.0,1496.0,1455.0,1410.0,1416.0,1473.0,1431.0,1376.0,1275.0,1220.0,1139.0,1059.0,1044.0,1065.0,1011.0,940.0,858.0,430.65221929877987,423.96002355771515,416.6149306711807,417.5942763893853,426.8980607123289,420.04264068489675,411.065304934688,394.5796520115773,385.60231626136857,372.38114906560656,359.323206156212,356.8748418607005,360.3025518744166,351.48844041057527,339.8995160784876,326.51512459635813
삼천포고등학교 (경남),경상남도 사천시 벌리동 10,3908893227,34.94270825,128.084824,사천시,431,442,479,512,540,543,534,522,505,449,414,406,411,406,410,4737.0,4615.0,4461.0,4189.0,3785.0,3472.0,3236.0,3050.0,3154.0,3335.0,3418.0,3375.0,3334.0,3393.0,3290.0,3216.0,3023.0,2863.0,2577.0,2219.0,1845.0,1630.0,1482.0,1443.0,1319.0,410.9082417597034,417.26659859264566,413.9725101129286,410.8316350508728,415.3514308718799,407.46093986232506,401.7920434088585,387.006948604547,374.7498751916462,352.8403564660862,325.41515470472075,296.7642456020652,280.29380320347985,268.95601029654665,265.96834865215214,256.46911675715404
삼천포공업고등학교 (경남),경상남도 사천시 동금동 45-1,5484209835,34.93428197,128.0839734,사천시,394,357,308,288,295,299,299,297,291,291,292,293,286,274,284,4737.0,4615.0,4461.0,4189.0,3785.0,3472.0,3236.0,3050.0,3154.0,3335.0,3418.0,3375.0,3334.0,3393.0,3290.0,3216.0,3023.0,2863.0,2577.0,2219.0,1845.0,1630.0,1482.0,1443.0,1319.0,284.84976697162426,285.6179616924178,285.2199812948983,284.84051161354245,285.38657774037154,284.43327585794106,283.7483793598842,281.9620952500873,280.4812379569915,277.8342055455826,274.5207873522806,271.059283429669,269.0693814420714,267.6995884459577,267.3386294807656,266.1909650786163
