,학교_식별자,시군구별,매칭된 행정구역,인구 수,2023,회귀계수,학생 비
508,대덕여자고등학교 (부산),부산광역시 사상구,부산광역시 사상구,202932.0,422,-0.04815821666440125,0.0020795143200678058
509,대동고등학교 (경북),북구,서울특별시 성북구,425602.0,579,-0.03746163504464285,0.0013604259378480364
510,대동고등학교 (부산),부산광역시 사하구,부산광역시 사하구,297831.0,614,-0.04038945442067939,0.0020615718310048317
511,대동세무고등학교 (서울),서울특별시 종로구,서울특별시 종로구,139417.0,490,-0.016588460201598886,0.003514635948270297
512,대륜고등학교 (대구),대구광역시 수성구,대구광역시 수성구,407331.0,934,-0.037860419397116644,0.0022929754916763026
513,대명여자고등학교 (부산),부산광역시 동래구,부산광역시 동래구,270815.0,603,-0.04115445232466509,0.002226612262983956
514,대부고등학교 (경기),단원구,경기도 안산시 단원구,294441.0,47,-0.05689457601222307,0.0001596245088150088
515,대산고등학교 (충남),서산시,충청남도 서산시,176011.0,491,-0.01656385281385282,0.0027895983773741414
516,대성고등학교 (강원),원주시,강원도 원주시,361503.0,860,-0.022581140890090976,0.002378956744480682
517,대성고등학교 (서울),서울특별시 은평구,서울특별시 은평구,466770.0,786,-0.040668135705970394,0.0016839128478694004
518,대성여자고등학교 (광주),광주광역시 남구,광주광역시 남구,209646.0,668,-0.044457163207163204,0.003186323612184349
519,대성여자상업고등학교 (충북),상당구,충청북도 청주시 상당구,200575.0,624,-0.029040223303750362,0.0031110557148198927
520,대성일고등학교 (경남),거창군,경상남도 거창군,60047.0,295,-0.027123977344241657,0.004912818292337669
521,대송고등학교 (울산),울산광역시 동구,울산광역시 동구,152287.0,688,-0.0346183500385505,0.0045177854971205685
522,대신고등학교 (경기),여주시,경기도 여주시,114412.0,245,-0.026578744705429345,0.0021413837709331187
523,대신고등학교 (서울),서울특별시 종로구,서울특별시 종로구,139417.0,363,-0.05247277386290839,0.002603699692290036
524,대아고등학교 (경남),진주시,경상남도 진주시,341074.0,725,-0.03776578073089701,0.002125638424506119
525,대양고등학교 (부산),부산광역시 남구,부산광역시 남구,254185.0,347,-0.045538775510204084,0.0013651474319885124
526,대연고등학교 (부산),부산광역시 남구,부산광역시 남구,254185.0,480,-0.04639982110912343,0.001888388378543187
527,대영고등학교 (경북),영주시,경상북도 영주시,100199.0,261,-0.024931318681318683,0.002604816415333486
528,대영고등학교 (서울),서울특별시 영등포구,서울특별시 영등포구,374794.0,755,-0.026740790655884993,0.0020144399323361634
529,대원고등학교 (대구),대구광역시 달성군,대구광역시 달성군,262084.0,634,-0.029402082376358905,0.002419071747989194
530,대원고등학교 (서울),서울특별시 광진구,서울특별시 광진구,335554.0,711,-0.04160025580480126,0.0021188839948264662
531,대원여자고등학교 (서울),서울특별시 광진구,서울특별시 광진구,335554.0,663,-0.04482298523394414,0.001975836974078688
532,대원외국어고등학교 (서울),서울특별시 광진구,서울특별시 광진구,335554.0,745,-0.036075533661740565,0.0022202089678561424
533,대인고등학교 (인천),인천광역시 서구,인천광역시 서구,624358.0,1033,-0.036771825396825386,0.0016544995018883397
534,대일고등학교 (서울),서울특별시 강서구,서울특별시 강서구,563058.0,1000,-0.037346235853698534,0.0017760159699356016
535,대일관광고등학교 (서울),서울특별시 양천구,서울특별시 양천구,436028.0,328,-0.03627308066083576,0.0007522452686524718
536,대일외국어고등학교 (서울),서울특별시 성북구,서울특별시 성북구,425602.0,719,-0.03814723590585659,0.0016893717604710503
537,대전가오고등학교 (대전),대전광역시 동구,대전광역시 동구,217628.0,664,-0.01775475098296199,0.003051077986288529
538,대전고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,1057,-0.029354904354904357,0.004734475221270649
539,대전과학고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,275,0.034447821681864235,0.0007496354045986725
540,대전관저고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,659,-0.03315252908116586,0.0014183206566889207
541,대전괴정고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,803,-0.03047733516483516,0.0017282420141444665
542,대전구봉고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,706,-0.02907037815126051,0.0015194755441917725
543,대전국제통상고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,303,-0.04550830200501253,0.0013571863690113593
544,대전노은고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,617,-0.025710565476190477,0.0016819092532268398
545,대전대성고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,1003,-0.02245224547856127,0.004492600422832981
546,대전대성여자고등학교 (대전),대전광역시 동구,대전광역시 동구,217628.0,581,-0.038010680907877174,0.002669693238002463
547,대전대신고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,1030,-0.017683642963912023,0.00221679859846675
548,대전도시과학고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,369,-0.03594436813186813,0.0010058744156251278
549,대전도안고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,926,0.07696984435797664,0.002524226853303166
550,대전동산고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,726,-0.0412660798916723,0.003251872290106425
551,대전동신과학고등학교 (대전),대전광역시 동구,대전광역시 동구,217628.0,214,-0.060345496894409933,0.0009833293510026282
552,대전둔산여자고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,832,-0.045747730530339224,0.0017906567319653749
553,대전둔원고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,782,-0.031976811931950594,0.0016830451495155328
554,대전만년고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,735,-0.035606661379857255,0.001581890262012681
555,대전반석고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,882,-0.018562648940173083,0.0024042851885673787
556,대전복수고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,633,0.01463028496926802,0.0013623626338150029
557,대전생활과학고등학교 (대전),대전광역시 대덕구,대전광역시 대덕구,169853.0,470,-0.028272385509227616,0.0027670986087970184
558,대전성모여자고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,533,-0.04193121693121693,0.0023873938438384633
559,대전송촌고등학교 (대전),대전광역시 대덕구,대전광역시 대덕구,169853.0,948,-0.023812774256460265,0.005581296768382072
560,대전신일여자고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,435,-0.03869240252735399,0.0019484358763034364
561,대전여자고등학교 (대전),대전광역시 동구,대전광역시 동구,217628.0,1223,-0.026754511090507093,0.005619681291010348
562,대전여자상업고등학교 (대전),대전광역시 중구,대전광역시 중구,223256.0,491,-0.03787117742650317,0.002199269000609166
563,대전예술고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,408,-0.012223756906077347,0.0011121863457318486
564,대전외국어고등학교 (대전),대전광역시 서구,대전광역시 서구,464634.0,689,-0.018346918346918345,0.001482887606158826
565,대전용산고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,844,-0.013912394225983074,0.002300699205386471
566,대전이문고등학교 (대전),대전광역시 대덕구,대전광역시 대덕구,169853.0,463,-0.027577639751552793,0.0027258865018574886
567,대전전민고등학교 (대전),대전광역시 유성구,대전광역시 유성구,366845.0,631,-0.03436467131839882,0.0017200725101882267
