학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
신탄중앙중학교,1968-11-20,본교,대전광역시 대덕구 덕암동 19-1,대전광역시 대덕구 덕암로 233,대전광역시교육청,36.44137005,대전광역시 대덕구,127.4242729,대전,7727504849,중학교,896,845,761,653,535,433,362,336,297,245,213,206,200,227,209,10703.0,10966.0,10863.0,10440.0,9164.0,8353.0,7690.0,7015.0,6603.0,6327.0,6064.0,5758.0,5592.0,5620.0,5489.0,5346.0,4998.0,4573.0,4005.0,3420.0,2870.0,2453.0,2265.0,2291.0,2339.0,0.8768786283150833,152.0795345659215,153.86229068265772,145.5215388507848,136.41674868316773,114.25963694658924,87.19994588898618,51.03546466376608,13.78859579624185,-21.229827925362116,-47.78016009246912,-59.750094019126465,-58.09467762501427,-55.03852428203794
상계중학교,1986-05-01,본교,서울특별시 노원구 상계동 195-5,서울특별시 노원구 노원로 398,서울특별시교육청,37.65260154,서울특별시 노원구,127.0689222,서울,1241097331,중학교,1320,1301,1202,1132,1136,1068,958,782,678,639,576,533,508,514,503,23036.0,24353.0,25044.0,24187.0,22193.0,20714.0,19414.0,18265.0,17832.0,17820.0,17131.0,16197.0,15539.0,15657.0,15027.0,14679.0,13845.0,13353.0,12132.0,10521.0,8949.0,7707.0,7081.0,6723.0,6562.0,0.9443421548989293,372.44991861987546,381.45552689935994,333.37473693262064,306.8158243795647,243.1660167093096,205.6172093067131,112.43205922831828,-10.517389400915249,-130.49040817506489,-225.27825125235108,-273.05376636215885,-300.37586605754404,-312.6631790490441
영암도포중학교,1971-12-31,본교,전라남도 영암군 도포면 구학리 370-3,전라남도 영암군 도포면 호산로 69-16,전라남도교육청,34.85005914,영암군,126.6434204,전남,4388716816,중학교,36,35,36,35,36,26,26,23,17,18,13,19,14,14,13,2495.0,2656.0,2652.0,2416.0,2235.0,2138.0,2065.0,1888.0,1966.0,2020.0,2083.0,2049.0,2111.0,2146.0,2088.0,1967.0,1868.0,1707.0,1542.0,1308.0,1146.0,995.0,855.0,689.0,591.0,0.8878008317196777,18.163395883543807,19.111084635543506,17.54062898937258,14.264333589602188,11.583728262517326,7.224360003318708,2.7566844581772685,-3.5792917694778694,-7.965736850162191,-12.054336894503749,-15.84509190250255,-20.339844269129696,-22.99337277472885
벌교중학교,1946-11-15,본교,전라남도 보성군 벌교읍 봉림리 303-3,전라남도 보성군 벌교읍 조정래길 86-27,전라남도교육청,34.85005681,보성군,127.343834,전남,8124883234,중학교,127,127,110,112,106,102,79,72,59,57,58,59,57,50,49,1661.0,1639.0,1583.0,1423.0,1212.0,1067.0,1007.0,1045.0,1247.0,1328.0,1318.0,1205.0,1251.0,1279.0,1149.0,1032.0,917.0,853.0,767.0,642.0,552.0,451.0,372.0,299.0,275.0,0.8532269148791373,66.5020174893836,68.90218640164794,57.75854502327782,47.729267782744714,37.87143117880193,32.38533080791203,25.01338343452872,14.298343647634383,6.5835150010704595,-2.074237146740167,-8.84614229205739,-15.103725527603682,-17.161013166687397
부흥중학교,1987-03-01,본교,인천광역시 부평구 부개동 13-73,인천광역시 부평구 충선로 152,인천광역시교육청,37.50305987,인천광역시 부평구,126.7367691,인천,8600377202,중학교,954,953,860,755,690,637,590,516,450,397,343,373,402,454,545,22635.0,21935.0,21479.0,20251.0,18913.0,17729.0,16975.0,16415.0,16885.0,17090.0,16859.0,16133.0,15766.0,15708.0,15251.0,15131.0,14814.0,14477.0,13300.0,11958.0,10398.0,8952.0,7541.0,6791.0,6564.0,0.9005161166354667,368.3737531506923,365.4292588296697,342.2286742657502,336.13661704984133,320.04343257114886,302.93490522313823,243.18197736376555,175.05247083251834,95.85572702570335,22.44643757400172,-49.18600185639309,-87.26135945582342,-98.7855010225843
부평서여자중학교,1978-03-10,본교,인천광역시 부평구 십정동 186-519,인천광역시 부평구 경원대로 1213,인천광역시교육청,37.4853651,인천광역시 부평구,126.7053476,인천,4156113505,중학교,1369,1234,1122,1071,965,868,742,652,565,484,433,464,454,421,345,22635.0,21935.0,21479.0,20251.0,18913.0,17729.0,16975.0,16415.0,16885.0,17090.0,16859.0,16133.0,15766.0,15708.0,15251.0,15131.0,14814.0,14477.0,13300.0,11958.0,10398.0,8952.0,7541.0,6791.0,6564.0,0.9915991679954134,337.1475147195124,331.33471002384226,285.5338178527868,273.5073253789865,241.73734109403108,207.9629413967757,90.00309438291902,-44.49317978241265,-200.83758194181473,-345.75681625110667,-487.1683235888736,-562.3339015501247,-585.0840164797299
구미중학교,1945-05-06,본교,경상북도 구미시 도량동 799-1,경상북도 구미시 문장로 159,경상북도교육청,36.14668047,구미시,128.3292902,경북,9669716000,중학교,1182,1182,1143,1124,1018,963,834,707,615,558,467,436,464,445,411,19646.0,19643.0,18862.0,17343.0,15825.0,15043.0,14803.0,14496.0,14818.0,14911.0,14444.0,14001.0,14243.0,15241.0,15255.0,15093.0,14467.0,13963.0,12773.0,11373.0,9978.0,8946.0,7995.0,7305.0,6471.0,0.9781790112781665,446.89083611002525,563.5604703325628,565.1971185080292,546.2587610490602,473.07720691748864,414.157872600696,275.0427776860472,111.37796013940147,-51.70234020172052,-172.3466914218193,-283.5218639124337,-364.18523827470904,-461.682708156068
영암중학교,1946-11-13,본교,전라남도 영암군 영암읍 회문리 256,전라남도 영암군 영암읍 영암초중고길 32,전라남도교육청,34.79842158,영암군,126.6880458,전남,6391440749,중학교,281,261,240,248,250,244,212,195,166,144,131,132,136,126,126,2495.0,2656.0,2652.0,2416.0,2235.0,2138.0,2065.0,1888.0,1966.0,2020.0,2083.0,2049.0,2111.0,2146.0,2088.0,1967.0,1868.0,1707.0,1542.0,1308.0,1146.0,995.0,855.0,689.0,591.0,0.9614977837517488,155.4609057554898,161.8894704306921,151.2364203974997,129.01195394894305,110.82829958194222,81.25690207601147,50.95081146434333,7.971264778704921,-21.783806003660146,-49.51847074524733,-75.23272944605665,-105.72249333415913,-123.72247442472566
안양중학교,1948-03-15,본교,경기도 안양시 만안구 석수동 752,경기도 안양시 만안구 와룡로 53,경기도교육청,37.40925264,만안구,126.8966844,경기,9973329722,중학교,1399,1444,1384,1367,1359,1189,1034,963,733,571,396,422,443,436,432,11136.0,10191.0,9555.0,9095.0,8655.0,8379.0,8045.0,7732.0,7611.0,7522.0,7162.0,6925.0,6874.0,7002.0,6625.0,6232.0,5890.0,5844.0,5582.0,5376.0,5044.0,4721.0,4330.0,4041.0,3980.0,0.9577030195052714,313.1045801688979,349.7455312375746,241.82648004311227,129.3273099650653,31.427268828444085,18.259427038138483,-56.740019680559726,-115.70905030671156,-210.74651714109223,-303.2076671034565,-415.1343223210556,-497.8627196558027,-515.324422899469
신화중학교,1969-11-11,본교,서울특별시 양천구 신월동 17-6,서울특별시 양천구 남부순환로29길 25,서울특별시교육청,37.541156,서울특별시 양천구,126.830209,서울,3468505620,중학교,1613,1458,1358,1401,1381,1276,1038,832,733,670,615,600,620,418,228,17207.0,16528.0,15710.0,14595.0,13508.0,12812.0,12349.0,12200.0,12530.0,12716.0,12269.0,11461.0,11078.0,11274.0,11143.0,10943.0,10600.0,10387.0,9736.0,8597.0,7485.0,6484.0,5924.0,5384.0,4958.0,0.9724055554459505,315.4778811355145,353.6422167705682,328.13442101448663,289.1912213868809,222.40363402553749,180.92912642213741,54.16901163428133,-167.6125102449323,-384.1367001744193,-579.047414310585,-688.0883732678806,-793.2350122624157,-876.1840274692155
신안증도중학교,1971-03-12,본교,전라남도 신안군 증도면 증동리 1512,전라남도 신안군 증도면 증동길 53,전라남도교육청,34.9987397,신안군,126.1443695,전남,6010907709,중학교,41,29,28,26,29,28,23,19,18,14,14,12,9,10,12,1108.0,1100.0,1080.0,927.0,848.0,803.0,811.0,811.0,827.0,824.0,830.0,788.0,792.0,794.0,751.0,736.0,689.0,678.0,640.0,621.0,573.0,510.0,454.0,401.0,360.0,0.895582536860166,12.510534681836926,12.61248772863335,10.420497222510331,9.655849371537183,7.259952771821322,6.6992110144410155,4.762103125309043,3.7935491807430566,1.34667605762899,-1.8648449164582281,-4.719530226757975,-7.421285966863092,-9.511323426189694
덕적중학교,1955-04-27,본교,인천광역시 옹진군 덕적면 진리 136,인천광역시 옹진군 덕적면 덕적남로 15,인천광역시교육청,37.22538058,인천광역시 옹진군,126.1481953,인천,1094385325,중학교,28,29,27,30,37,33,36,26,21,10,10,6,8,13,16,469.0,498.0,499.0,456.0,432.0,395.0,369.0,367.0,389.0,412.0,429.0,432.0,462.0,471.0,441.0,413.0,371.0,370.0,346.0,334.0,312.0,288.0,253.0,222.0,201.0,0.8520565119247667,27.663890977652486,29.612758044620932,23.11653448805947,17.05339250193545,7.9586795227494065,7.742138737530695,2.545159892281532,-0.053329530343063425,-4.817226805154789,-10.014205650403959,-17.59313313305899,-24.305897474839156,-28.853253964432177
중리중학교,1989-03-07,본교,대전광역시 대덕구 중리동 371-4,대전광역시 대덕구 중리동로 85,대전광역시교육청,36.36662861,대전광역시 대덕구,127.4270918,대전,4583903312,중학교,940,809,817,775,665,552,458,401,305,257,243,236,221,172,163,10703.0,10966.0,10863.0,10440.0,9164.0,8353.0,7690.0,7015.0,6603.0,6327.0,6064.0,5758.0,5592.0,5620.0,5489.0,5346.0,4998.0,4573.0,4005.0,3420.0,2870.0,2453.0,2265.0,2291.0,2339.0,0.926012634602442,117.81430320646956,120.40118567777535,108.29827125845168,95.08669292285401,62.93543935091009,23.67025898287511,-28.80649972075753,-82.85386563911158,-133.66762846833336,-172.19369955885236,-189.56276758047724,-187.1606624285504,-182.7260067634547
