학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,상관계수,2024_예측학생수,2025_예측학생수,2026_예측학생수,2027_예측학생수,2028_예측학생수,2029_예측학생수,2030_예측학생수,2031_예측학생수,2032_예측학생수,2033_예측학생수,2034_예측학생수,2035_예측학생수,2036_예측학생수
전주기린중학교,1982-12-19,본교,전북특별자치도 전주시 덕진구 우아동3가 743-10,전북특별자치도 전주시 덕진구 동부대로 739,전북특별자치도교육청,35.8541504,덕진구,127.1569104,전북,5407085597,중학교,747,694,655,644,604,513,376,292,237,204,190,201,183,184,175,12254.0,12609.0,12264.0,11477.0,9934.0,9072.0,8441.0,8077.0,8167.0,8380.0,8422.0,8322.0,8234.0,8394.0,8035.0,7704.0,7451.0,7138.0,6783.0,6213.0,5966.0,5661.0,5476.0,5152.0,4883.0,0.9620871919709715,174.49750082483047,189.19014487492586,156.2235247875243,125.8281174088894,102.59537400467605,73.85288908167695,41.25358509552768,-11.08895933293718,-33.77072858527197,-61.77858130576635,-78.76695098868913,-108.51955519013234,-133.22156299935523
동지중학교,1946-03-05,본교,경상북도 포항시 북구 용흥동 산125-3,경상북도 포항시 북구 용흥로 123,경상북도교육청,36.03860468,북구,129.3467246,경북,1221081614,중학교,541,546,546,510,482,443,402,355,314,289,273,245,248,251,261,8669.0,8653.0,8458.0,7598.0,6790.0,6256.0,6140.0,5928.0,6102.0,6201.0,6248.0,6289.0,6494.0,6871.0,6966.0,7076.0,7006.0,6826.0,6375.0,5704.0,5052.0,4540.0,4136.0,3955.0,3740.0,0.9676488823128748,300.5491218741524,333.08738476114996,341.2866817751149,350.78060463339006,344.73901735994224,329.2035072282193,290.27842350929103,232.36549407381256,176.09242404112706,131.90252855533726,97.03393914858117,81.41212062723753,62.855816858790604
광영중학교,1990-02-12,본교,전라남도 광양시 광영동 435,전라남도 광양시 금영로 101,전라남도교육청,34.96022556,광양시,127.7191768,전남,3879763901,중학교,753,723,677,639,603,522,462,384,350,334,318,328,326,333,347,7730.0,7359.0,6900.0,6128.0,5188.0,4633.0,4435.0,4435.0,4656.0,4772.0,4868.0,4988.0,5177.0,5510.0,5478.0,5386.0,5132.0,4818.0,4427.0,3918.0,3582.0,3306.0,3027.0,2776.0,2579.0,0.9898076040792388,380.5926064929574,412.38946749450525,409.3339132841464,400.5491949293643,376.29573338464013,346.3131076954929,308.9780546876694,260.3756455291472,228.29232632037815,201.93817125603215,175.29755798446502,151.33055464696196,132.51979903943962
무학중학교,1968-10-01,본교,서울특별시 성동구 행당동 322-1,서울특별시 성동구 행당로 120,서울특별시교육청,37.55768336,서울특별시 성동구,127.0319746,서울,9939361691,중학교,1268,1259,1203,1183,1158,1101,992,876,879,867,862,800,836,805,775,13872.0,13892.0,13702.0,13108.0,12087.0,11466.0,10917.0,10512.0,10589.0,10593.0,9957.0,9081.0,8485.0,8497.0,8449.0,8327.0,8245.0,7938.0,7746.0,7339.0,6999.0,6482.0,5969.0,5468.0,5006.0,0.942710289934538,667.8792934324551,668.8655243773842,664.9206005976681,654.8939193242229,648.1546745338745,622.9235995261066,607.1439044072421,573.6942381917323,545.7510280854096,503.26091154138373,461.09953864566745,419.9243966948803,381.9545053151124
인천중학교,2001-03-01,본교,인천광역시 연수구 연수동 534-4,인천광역시 연수구 함박뫼로 203,인천광역시교육청,37.42145747,인천광역시 연수구,126.6889356,인천,6592776477,중학교,1104,1001,870,783,783,726,649,594,547,525,448,402,339,310,282,11380.0,10641.0,9839.0,8761.0,7953.0,7218.0,6780.0,6417.0,6597.0,6713.0,6656.0,6585.0,6720.0,7219.0,7405.0,7710.0,7771.0,7817.0,7628.0,7462.0,7437.0,7522.0,7520.0,7297.0,6734.0,0.9071976072792345,417.9677707838806,463.92891095476136,481.0607187138471,509.1531991790147,514.7716952720483,519.0085939651555,501.6004667260844,486.310788833567,484.0081265003565,491.83717843327213,491.6529654466152,471.11321743437793,419.25726169047846
삼호서중학교,1997-09-01,본교,전라남도 영암군 삼호읍 용당리 995-23,전라남도 영암군 삼호읍 모밀항길 20,전라남도교육청,34.74730383,영암군,126.3839186,전남,8243305444,중학교,432,414,379,384,373,329,273,248,219,217,207,200,210,209,199,2495.0,2656.0,2652.0,2416.0,2235.0,2138.0,2065.0,1888.0,1966.0,2020.0,2083.0,2049.0,2111.0,2146.0,2088.0,1967.0,1868.0,1707.0,1542.0,1308.0,1146.0,995.0,855.0,689.0,591.0,0.9227459216649101,229.37769596201798,237.6732389341836,223.9263391517377,195.24746201939365,171.78292618383944,133.62342851187748,94.51586878595378,39.054238629189285,0.6577254437368651,-35.13161709332056,-68.3137889819831,-107.65836422139725,-130.88588454346103
성주여자중학교,1954-03-28,본교,경상북도 성주군 성주읍 경산리 463,경상북도 성주군 성주읍 성주여중고길 19,경상북도교육청,35.91621487,성주군,128.282047,경북,5382016062,중학교,370,360,366,353,327,310,266,221,202,203,192,207,206,221,225,1587.0,1487.0,1379.0,1207.0,1044.0,935.0,873.0,842.0,829.0,840.0,826.0,804.0,828.0,881.0,906.0,890.0,886.0,906.0,895.0,828.0,736.0,651.0,583.0,528.0,487.0,0.9642541520616894,202.07098978570934,211.98333814650758,216.65897416575206,213.6665671134356,212.91846535035648,216.65897416575206,214.60169431728448,202.07098978570934,184.86464923488973,168.9674867694586,156.24975679711366,145.96335755477585,138.29531448321495
예천중학교,1948-09-01,본교,경상북도 예천군 예천읍 남본리 60,경상북도 예천군 예천읍 예천중앞길 7,경상북도교육청,36.65176852,예천군,128.4603688,경북,1276490688,중학교,196,191,172,176,178,175,171,164,150,126,120,115,124,118,102,1332.0,1354.0,1353.0,1189.0,1027.0,918.0,861.0,821.0,822.0,802.0,760.0,731.0,773.0,797.0,778.0,713.0,710.0,710.0,721.0,779.0,878.0,961.0,944.0,869.0,837.0,0.9462124805337594,118.52451335628926,121.16777250751001,119.07519234612693,111.9163654782374,111.5859580843348,111.5859580843348,112.79745186197765,119.18532814409446,130.08877214288003,139.23004337418513,137.35773480873706,129.09754996117226,125.57320442621125
부평서중학교,1980-03-12,본교,인천광역시 부평구 십정동 186-79,인천광역시 부평구 화랑로 29,인천광역시교육청,37.48661833,인천광역시 부평구,126.7036652,인천,9868769705,중학교,1252,1113,973,902,813,726,613,509,412,361,325,319,316,278,273,22635.0,21935.0,21479.0,20251.0,18913.0,17729.0,16975.0,16415.0,16885.0,17090.0,16859.0,16133.0,15766.0,15708.0,15251.0,15131.0,14814.0,14477.0,13300.0,11958.0,10398.0,8952.0,7541.0,6791.0,6564.0,0.9915062071796772,220.5281959873837,215.08537264927782,172.19967841627022,160.9386646132923,131.19081981709246,99.56613938706278,-10.885637663812076,-136.8213086937817,-283.21448813249435,-418.9097044583781,-551.3204584250599,-621.7017946936718,-643.0038791376384
신한중학교,1966-02-22,본교,경기도 평택시 비전동 224-7,경기도 평택시 신한1길 26,경기도교육청,36.993569,평택시,127.1044177,경기,8396882832,중학교,1052,989,1011,1028,998,919,868,864,830,826,847,842,885,872,841,18005.0,17198.0,16140.0,14944.0,13552.0,12687.0,12328.0,12529.0,13281.0,13899.0,13758.0,13264.0,13059.0,13365.0,13241.0,13237.0,13084.0,13001.0,12511.0,11635.0,11018.0,10745.0,10873.0,11237.0,11268.0,0.9592196250477494,843.5424686856604,853.7751805890183,849.6285914517099,849.4948305117967,844.3784745601179,841.6029350569195,825.2172199175556,795.9235740765703,775.2909490949631,766.161764945889,770.4421150231105,782.6143605552095,783.6510078395365
