,학교_식별자,소재지지번주소,개방ID,위도,경도,시군구별,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수,2037_해당지역예측학생수,2038_해당지역예측학생수,2039_해당지역예측학생수,매칭된 행정구역,학생 비,회귀계수
10,가좌고등학교 (인천),인천광역시 서구 가좌동 230,6712873995,37.48964618,126.6809097,인천광역시 서구,1472,1373,1314,1145,1138,1121,1098,1062,1013,966,895,871,891,894,906,15753.0,15428.0,14758.0,13624.0,12117.0,11063.0,10803.0,10944.0,11809.0,12265.0,12114.0,11855.0,12093.0,13601.0,14678.0,15445.0,15302.0,14897.0,13635.0,12732.0,12099.0,11803.0,11029.0,10441.0,10499.0,인천광역시 서구,0.07672114488949107,-0.027103552018633542
11,가평고등학교 (경기),경기도 가평군 가평읍 대곡리 113,1769603013,37.81828429,127.5130855,가평군,835,883,916,948,945,933,880,846,781,715,653,613,597,571,582,2049.0,1920.0,1865.0,1677.0,1527.0,1404.0,1348.0,1285.0,1235.0,1271.0,1284.0,1284.0,1231.0,1236.0,1178.0,1145.0,1085.0,1089.0,1085.0,1026.0,924.0,827.0,768.0,706.0,622.0,경기도 가평군,0.47125506072874496,-0.030097197106690777
12,간동고등학교 (강원),강원특별자치도 화천군 간동면 유촌리 608-1 번지,9914577543,38.0563712,127.7915913,화천군,56,57,56,66,66,57,53,41,41,41,39,40,40,50,45,1228.0,1195.0,1194.0,1089.0,1016.0,921.0,861.0,825.0,832.0,816.0,802.0,752.0,749.0,776.0,771.0,763.0,753.0,736.0,687.0,622.0,596.0,547.0,483.0,443.0,429.0,강원도 화천군,0.054086538461538464,-0.02316017316017316
13,간디고등학교 (경남),경상남도 산청군 신안면 외송리 122,2143172502,35.35849956,127.9445919,산청군,114,121,123,120,121,116,118,121,113,117,121,117,109,98,89,1119.0,1074.0,1005.0,882.0,781.0,715.0,682.0,653.0,683.0,664.0,640.0,599.0,635.0,654.0,649.0,640.0,668.0,666.0,632.0,541.0,479.0,374.0,320.0,234.0,210.0,경상남도 산청군,0.13030746705710103,-0.011556329849012774
14,갈매고등학교 (경기),경기도 구리시 갈매동 407-1,8735814809,37.627385,127.1176504,구리시,0,0,0,0,0,0,0,0,223,429,653,637,661,629,691,7484.0,7079.0,6763.0,6650.0,6475.0,6363.0,6007.0,5764.0,5930.0,6139.0,6058.0,5833.0,5707.0,5701.0,5378.0,4949.0,4571.0,4276.0,4151.0,3964.0,3800.0,3509.0,3117.0,2824.0,2624.0,경기도 구리시,0.11652613827993255,0.09046929915236718
15,갈산고등학교 (충남),충청남도 홍성군 갈산면 상촌리 319,1499338269,36.60486517,126.5478667,홍성군,255,263,262,257,255,245,240,236,223,195,193,181,196,170,179,3035.0,3023.0,2831.0,2552.0,2297.0,2118.0,2065.0,2009.0,2056.0,2050.0,1997.0,1888.0,1802.0,1784.0,1753.0,1724.0,1742.0,1853.0,2002.0,2016.0,1899.0,1761.0,1642.0,1475.0,1303.0,충청남도 홍성군,0.08706225680933852,-0.027525801195002714
16,감일고등학교 (경기),경기도 하남시 감이동 99-1,7666290938,37.50941102,127.1600938,하남시,0,0,0,0,0,0,0,0,0,0,0,0,85,288,569,5084.0,4784.0,4436.0,4145.0,3729.0,3604.0,3424.0,3412.0,3544.0,3782.0,4008.0,4068.0,4102.0,4025.0,3728.0,3535.0,3466.0,3954.0,4662.0,5342.0,5723.0,5831.0,6152.0,6424.0,6487.0,경기도 하남시,0.1605530474040632,0.03851368315340196
17,갑천고등학교 (강원),강원특별자치도 횡성군 갑천면 매일리 600 번지,6837701320,37.56069062,128.1143746,횡성군,65,80,83,80,74,67,57,54,51,55,53,40,44,26,41,1561.0,1413.0,1284.0,1170.0,1082.0,1030.0,941.0,898.0,894.0,888.0,861.0,818.0,783.0,788.0,712.0,672.0,641.0,645.0,612.0,531.0,502.0,487.0,488.0,434.0,407.0,강원도 횡성군,0.04586129753914989,-0.04044750430292599
18,강경고등학교 (충남),충청남도 논산시 강경읍 남교리 48,2961409866,36.1596285,127.0198871,논산시,328,300,298,310,333,348,305,282,234,202,197,193,195,187,177,4701.0,4612.0,4274.0,3926.0,3491.0,3240.0,3077.0,3029.0,3042.0,3028.0,2963.0,2817.0,2818.0,2819.0,2694.0,2548.0,2434.0,2342.0,2187.0,2001.0,1895.0,1724.0,1549.0,1344.0,1238.0,충청남도 논산시,0.05818540433925049,-0.03580665024630542
19,강경상업고등학교 (충남),충청남도 논산시 강경읍 남교리 1,3072767674,36.16142445,127.023298,논산시,412,395,373,347,352,354,334,337,333,321,276,274,265,254,240,4701.0,4612.0,4274.0,3926.0,3491.0,3240.0,3077.0,3029.0,3042.0,3028.0,2963.0,2817.0,2818.0,2819.0,2694.0,2548.0,2434.0,2342.0,2187.0,2001.0,1895.0,1724.0,1549.0,1344.0,1238.0,충청남도 논산시,0.07889546351084813,-0.02753987517337032
20,강구정보고등학교 (경북),경상북도 영덕군 강구면 삼사리 21,7375791072,36.35361053,129.3803591,영덕군,91,72,89,98,86,67,61,65,69,54,46,42,38,34,33,1301.0,1270.0,1158.0,1035.0,900.0,819.0,779.0,757.0,814.0,785.0,745.0,706.0,694.0,681.0,634.0,633.0,630.0,589.0,586.0,523.0,540.0,483.0,436.0,364.0,294.0,경상북도 영덕군,0.04054054054054054,-0.04559037900874636
21,강남영상미디어고등학교 (인천),인천광역시 강화군 길상면 온수리 409-4,5935242056,37.64167363,126.4791248,인천광역시 강화군,242,240,230,238,239,239,268,239,241,239,235,227,197,179,173,1786.0,1710.0,1602.0,1446.0,1311.0,1212.0,1182.0,1136.0,1147.0,1120.0,1110.0,1072.0,1019.0,977.0,891.0,872.0,828.0,837.0,792.0,776.0,799.0,870.0,889.0,856.0,783.0,인천광역시 강화군,0.15082824760244115,-0.014618869936034118
22,강동고등학교 (대구),대구광역시 동구 신서동 560,9534166812,35.865983,128.7296127,대구광역시 동구,989,930,957,958,1004,967,952,955,928,847,789,750,727,690,736,13641.0,13140.0,12554.0,11377.0,10119.0,9646.0,9491.0,9228.0,9138.0,8947.0,8678.0,8549.0,8756.0,9305.0,9180.0,9153.0,9029.0,8932.0,8329.0,7449.0,6644.0,5852.0,5280.0,4873.0,4696.0,대구광역시 동구,0.08054278835631429,-0.021706033010813888
23,강동고등학교 (서울),서울특별시 강동구 상일동 267,6071490764,37.54991665,127.1606683,서울특별시 강동구,1094,1098,1067,1054,972,890,843,862,779,708,614,609,604,615,672,17417.0,17232.0,16568.0,15668.0,14060.0,13258.0,12483.0,11965.0,11907.0,12110.0,12479.0,12915.0,13551.0,13891.0,13315.0,12749.0,12024.0,11247.0,10126.0,8920.0,8064.0,7631.0,7782.0,7873.0,7532.0,서울특별시 강동구,0.0564373897707231,-0.03723978662503253
24,강동고등학교 (울산),울산광역시 북구 산하동 산61-11,8711654007,35.63246982,129.4351503,울산광역시 북구,0,0,0,0,0,0,0,0,0,0,0,41,108,188,267,6120.0,7214.0,6464.0,5666.0,4995.0,4840.0,5045.0,5392.0,5836.0,6315.0,6496.0,6639.0,6792.0,6997.0,6857.0,6578.0,6506.0,6483.0,6241.0,5809.0,5657.0,5622.0,5380.0,4825.0,4263.0,울산광역시 북구,0.04575051405071967,0.049505082932049235
25,강릉고등학교 (강원),강원특별자치도 강릉시 초당동 57-2 번지,4718057751,37.78891804,128.9159872,강릉시,1061,1076,1057,1003,960,934,883,831,736,665,585,530,505,510,516,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.09447088978396193,-0.04538303239511418
26,강릉명륜고등학교 (강원),강원특별자치도 강릉시 교동 233 번지,2500884771,37.76314126,128.8938677,강릉시,1057,1068,1037,1029,1007,972,874,830,733,658,578,525,501,505,524,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.09593555474185281,-0.04635165864098448
27,강릉문성고등학교 (강원),강원특별자치도 강릉시 지변동 54,9823591649,37.77563062,128.8700327,강릉시,1038,1023,1031,997,948,911,934,921,888,803,733,700,671,635,646,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.11827169534968876,-0.030852601156069363
28,강릉여자고등학교 (강원),강원특별자치도 강릉시 옥천동 237-1 번지,3950189590,37.75965121,128.9034321,강릉시,1073,1066,1032,1020,1003,962,963,984,971,878,808,764,727,697,685,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.1254119370194068,-0.02737318599387565
29,강릉정보공업고등학교 (강원),강원특별자치도 강릉시 주문진읍 교항리 48-123,6618147492,37.88054161,128.8307453,강릉시,443,449,410,381,383,367,387,357,374,353,324,283,268,228,208,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.03808128890516294,-0.03413140311804009
30,강릉제일고등학교 (강원),강원특별자치도 강릉시 교동 886 번지,3992189228,37.76013262,128.889764,강릉시,933,934,922,1052,1044,982,871,813,743,715,678,681,665,655,631,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.11552544855364336,-0.028235334057577405
31,강릉중앙고등학교 (강원),강원특별자치도 강릉시 입암동 525번지,8774001419,37.75736497,128.9150334,강릉시,1014,987,901,846,816,791,785,762,716,684,651,624,585,541,477,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.08733064811424386,-0.03409763313609468
32,강북고등학교 (대구),대구광역시 북구 태전동 산14-1,8456016957,35.92972817,128.5412228,대구광역시 북구,1476,1333,1328,1341,1341,1302,1211,1155,1079,1004,915,862,798,746,738,17442.0,16896.0,16501.0,15788.0,15227.0,15524.0,15774.0,15333.0,15093.0,14769.0,14030.0,13068.0,12736.0,12967.0,12484.0,12009.0,11518.0,11295.0,10497.0,9382.0,8245.0,7421.0,6647.0,6171.0,5622.0,대구광역시 북구,0.04889683959451401,-0.03692411924119241
33,강서고등학교 (서울),서울특별시 양천구 목동 735,1517779529,37.53631557,126.8657711,서울특별시 양천구,1782,1860,1880,1890,1815,1747,1703,1618,1403,1133,971,980,1004,992,1014,17207.0,16528.0,15710.0,14595.0,13508.0,12812.0,12349.0,12200.0,12530.0,12716.0,12269.0,11461.0,11078.0,11274.0,11143.0,10943.0,10600.0,10387.0,9736.0,8597.0,7485.0,6484.0,5924.0,5384.0,4958.0,서울특별시 양천구,0.08092577813248204,-0.04282690854119425
34,강서공업고등학교 (서울),서울특별시 강서구 방화동 834,7659825205,37.57603409,126.8161817,서울특별시 강서구,734,722,726,711,663,621,590,595,593,584,586,540,477,404,354,20887.0,20586.0,19672.0,18585.0,17125.0,16814.0,16736.0,16655.0,17062.0,17673.0,17814.0,17439.0,17213.0,17348.0,16852.0,16523.0,16460.0,16692.0,16068.0,14516.0,12901.0,11446.0,10192.0,9216.0,8506.0,서울특별시 강서구,0.02074786074317196,-0.03308193849746982
35,강원고등학교 (강원),강원특별자치도 춘천시 동면 장학리 산36 번지,9590950250,37.89496596,127.7564189,춘천시,897,920,930,933,920,919,916,886,786,716,659,609,602,585,607,9626.0,9583.0,9189.0,8636.0,7781.0,7202.0,6817.0,6493.0,6559.0,6614.0,6648.0,6609.0,6793.0,6985.0,6845.0,6483.0,6235.0,6092.0,5792.0,5440.0,5122.0,4972.0,4754.0,4588.0,4326.0,강원도 춘천시,0.09254459521268486,-0.0317524115755627
36,강원과학고등학교 (강원),강원특별자치도 원주시 태장동 101,5819508492,37.37542765,127.9731977,원주시,130,126,122,124,134,125,134,167,170,163,166,162,166,163,163,11084.0,11139.0,10789.0,10182.0,9481.0,8903.0,8545.0,8362.0,8659.0,8821.0,8864.0,8685.0,8748.0,8861.0,8468.0,8034.0,7660.0,7582.0,7364.0,6800.0,6478.0,6263.0,6257.0,6182.0,6040.0,강원도 원주시,0.018824344612541864,0.021701680672268908
37,강원대학교사범대학부설고등학교 (강원),강원특별자치도 춘천시 후평동 1-6,5096059322,37.87343185,127.7475973,춘천시,1020,1059,1074,1051,1042,1033,1014,994,930,856,766,725,717,699,738,9626.0,9583.0,9189.0,8636.0,7781.0,7202.0,6817.0,6493.0,6559.0,6614.0,6648.0,6609.0,6793.0,6985.0,6845.0,6483.0,6235.0,6092.0,5792.0,5440.0,5122.0,4972.0,4754.0,4588.0,4326.0,강원도 춘천시,0.11251715200487879,-0.02822891726523011
38,강원생명과학고등학교 (강원),강원특별자치도 춘천시 사농동 122,7515780925,37.91001603,127.7232945,춘천시,688,602,559,589,637,620,492,475,387,342,298,266,262,218,204,9626.0,9583.0,9189.0,8636.0,7781.0,7202.0,6817.0,6493.0,6559.0,6614.0,6648.0,6609.0,6793.0,6985.0,6845.0,6483.0,6235.0,6092.0,5792.0,5440.0,5122.0,4972.0,4754.0,4588.0,4326.0,강원도 춘천시,0.031102302180210397,-0.052673380398671095
39,강원생활과학고등학교 (강원),강원특별자치도 홍천군 남면 양덕원리 66 번지,1345724403,37.60888471,127.7701243,홍천군,219,214,231,252,251,251,258,252,241,216,195,191,188,174,159,2837.0,2745.0,2660.0,2437.0,2187.0,2008.0,1877.0,1731.0,1748.0,1701.0,1712.0,1569.0,1484.0,1448.0,1376.0,1341.0,1322.0,1305.0,1255.0,1142.0,1047.0,964.0,868.0,817.0,799.0,강원도 홍천군,0.09096109839816933,-0.019019933554817278
40,강원애니고등학교 (강원),강원특별자치도 춘천시 서면 금산리 19-1번지,8983213722,37.90616461,127.7004387,춘천시,0,61,119,177,180,180,180,177,181,177,176,170,175,179,175,9626.0,9583.0,9189.0,8636.0,7781.0,7202.0,6817.0,6493.0,6559.0,6614.0,6648.0,6609.0,6793.0,6985.0,6845.0,6483.0,6235.0,6092.0,5792.0,5440.0,5122.0,4972.0,4754.0,4588.0,4326.0,강원도 춘천시,0.026680896478121666,0.04277821625887923
41,강원예술고등학교 (강원),강원특별자치도 강릉시 구정면 제비리 132-2,4496809840,37.72193969,128.8645411,강릉시,291,281,279,293,282,272,270,270,269,235,212,184,183,174,168,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.030757964115708532,-0.03295953193564115
42,강원외국어고등학교 (강원),강원특별자치도 양구군 양구읍 하리 500번지,1258638978,38.11982808,127.9905164,양구군,0,153,297,443,446,429,425,405,387,352,354,347,341,307,288,996.0,1007.0,936.0,894.0,796.0,788.0,740.0,697.0,656.0,634.0,602.0,586.0,613.0,656.0,645.0,629.0,630.0,644.0,637.0,573.0,536.0,494.0,491.0,468.0,437.0,강원도 양구군,0.43902439024390244,0.018481742472773864
43,강원체육고등학교 (강원),강원특별자치도 춘천시 송암동 133,9505259037,37.85912229,127.694804,춘천시,193,196,204,211,217,221,222,216,218,223,227,219,203,204,215,9626.0,9583.0,9189.0,8636.0,7781.0,7202.0,6817.0,6493.0,6559.0,6614.0,6648.0,6609.0,6793.0,6985.0,6845.0,6483.0,6235.0,6092.0,5792.0,5440.0,5122.0,4972.0,4754.0,4588.0,4326.0,강원도 춘천시,0.03277938710169233,0.004074889867841409
44,강일고등학교 (서울),서울특별시 강동구 강일동 685-1,8091495633,37.5638281,127.1779035,서울특별시 강동구,0,280,582,841,838,768,729,682,621,557,524,532,530,519,564,17417.0,17232.0,16568.0,15668.0,14060.0,13258.0,12483.0,11965.0,11907.0,12110.0,12479.0,12915.0,13551.0,13891.0,13315.0,12749.0,12024.0,11247.0,10126.0,8920.0,8064.0,7631.0,7782.0,7873.0,7532.0,서울특별시 강동구,0.047367094986142604,0.01025140139289961
45,강일여자고등학교 (강원),강원특별자치도 강릉시 교동 1133-2,7942060649,37.764332,128.8870353,강릉시,1051,1074,1062,1062,1024,975,960,971,945,863,784,731,700,667,661,8240.0,8366.0,8104.0,7633.0,6851.0,6411.0,6004.0,5628.0,5462.0,5306.0,5213.0,4935.0,4966.0,4948.0,4767.0,4394.0,4160.0,3936.0,3722.0,3356.0,3084.0,2950.0,2806.0,2735.0,2611.0,강원도 강릉시,0.12101794214573416,-0.030809390795424312
46,강진고등학교 (전남),전라남도 강진군 강진읍 서성리 302-5,3437738537,34.63782109,126.7585876,강진군,422,424,422,406,389,431,482,517,484,449,409,377,361,357,380,1496.0,1429.0,1328.0,1138.0,1000.0,861.0,877.0,894.0,1080.0,1205.0,1284.0,1311.0,1345.0,1355.0,1245.0,1123.0,1013.0,920.0,793.0,686.0,605.0,512.0,420.0,322.0,349.0,전라남도 강진군,0.35185185185185186,-0.007039237358386297
47,강호항공고등학교 (전북),전북특별자치도 고창군 고창읍 덕산리 17,5405194640,35.425102,126.6999786,고창군,648,647,658,660,687,685,669,650,624,600,554,535,494,476,449,2085.0,2018.0,1881.0,1691.0,1431.0,1252.0,1108.0,1072.0,1074.0,1084.0,1071.0,1024.0,1036.0,1027.0,962.0,947.0,907.0,879.0,776.0,732.0,711.0,679.0,604.0,523.0,458.0,전라북도 고창군,0.4180633147113594,-0.022629444791016844
48,강화고등학교 (인천),인천광역시 강화군 강화읍 국화리 198-1,9694958269,37.74802846,126.4738138,인천광역시 강화군,600,592,612,624,635,624,613,597,543,524,477,453,457,452,475,1786.0,1710.0,1602.0,1446.0,1311.0,1212.0,1182.0,1136.0,1147.0,1120.0,1110.0,1072.0,1019.0,977.0,891.0,872.0,828.0,837.0,792.0,776.0,799.0,870.0,889.0,856.0,783.0,인천광역시 강화군,0.4141238012205754,-0.022035995500562428
49,강화여자고등학교 (인천),인천광역시 강화군 강화읍 관청리 794-1,6270484924,37.75388637,126.4795303,인천광역시 강화군,606,600,612,625,610,597,569,564,535,527,495,507,511,491,472,1786.0,1710.0,1602.0,1446.0,1311.0,1212.0,1182.0,1136.0,1147.0,1120.0,1110.0,1072.0,1019.0,977.0,891.0,872.0,828.0,837.0,792.0,776.0,799.0,870.0,889.0,856.0,783.0,인천광역시 강화군,0.4115082824760244,-0.017645714285714285
50,개금고등학교 (부산),부산광역시 부산진구 개금동 578-7,4314237773,35.16087702,129.0256396,부산광역시 부산진구,1033,961,939,879,808,710,662,603,551,498,458,455,436,430,439,13620.0,13383.0,12909.0,12127.0,11046.0,10309.0,9791.0,9536.0,9820.0,10042.0,10008.0,9744.0,9733.0,10033.0,9833.0,9572.0,9126.0,8748.0,8009.0,6998.0,6001.0,5181.0,4727.0,4530.0,4677.0,부산광역시 부산진구,0.04470468431771894,-0.04542940118932375
51,개성고등학교 (부산),부산광역시 부산진구 당감동 642,3012193202,35.1676735,129.0299526,부산광역시 부산진구,983,946,899,855,819,814,784,807,775,718,649,600,586,593,599,13620.0,13383.0,12909.0,12127.0,11046.0,10309.0,9791.0,9536.0,9820.0,10042.0,10008.0,9744.0,9733.0,10033.0,9833.0,9572.0,9126.0,8748.0,8009.0,6998.0,6001.0,5181.0,4727.0,4530.0,4677.0,부산광역시 부산진구,0.0609979633401222,-0.029436128469699174
52,개포고등학교 (서울),서울특별시 강남구 개포동 173,1232318997,37.484953,127.0594065,서울특별시 강남구,1329,1330,1338,1312,1269,1205,1173,1118,983,801,643,622,642,639,693,18180.0,18430.0,17340.0,15735.0,13885.0,12978.0,12490.0,12460.0,13165.0,13853.0,13867.0,13810.0,13985.0,14500.0,14215.0,14108.0,13800.0,13371.0,12173.0,10518.0,9145.0,8045.0,7309.0,6556.0,6496.0,서울특별시 강남구,0.05263957462969996,-0.04728272474909246
53,거제고등학교 (경남),경상남도 거제시 아주동 295-8,7969617128,34.86108759,128.6884261,거제시,941,1007,1032,1027,1020,1030,1017,1031,1000,921,855,808,813,807,794,8916.0,9216.0,9047.0,8444.0,7759.0,7524.0,7406.0,7533.0,8018.0,8672.0,9229.0,9590.0,9973.0,10384.0,10284.0,10262.0,10202.0,10155.0,9380.0,7877.0,6262.0,5094.0,4262.0,3603.0,2973.0,경상남도 거제시,0.09902718882514343,-0.017061184939091915
