학교명,설립일자,본교분교구분,소재지지번주소,소재지도로명주소,시도교육청명,위도,시군구별,경도,시도명,개방ID,학제유형명,2009_학생수,2010_학생수,2011_학생수,2012_학생수,2013_학생수,2014_학생수,2015_학생수,2016_학생수,2017_학생수,2018_학생수,2019_학생수,2020_학생수,2021_학생수,2022_학생수,2023_학생수,2012_해당지역예측학생수,2013_해당지역예측학생수,2014_해당지역예측학생수,2015_해당지역예측학생수,2016_해당지역예측학생수,2017_해당지역예측학생수,2018_해당지역예측학생수,2019_해당지역예측학생수,2020_해당지역예측학생수,2021_해당지역예측학생수,2022_해당지역예측학생수,2023_해당지역예측학생수,2024_해당지역예측학생수,2025_해당지역예측학생수,2026_해당지역예측학생수,2027_해당지역예측학생수,2028_해당지역예측학생수,2029_해당지역예측학생수,2030_해당지역예측학생수,2031_해당지역예측학생수,2032_해당지역예측학생수,2033_해당지역예측학생수,2034_해당지역예측학생수,2035_해당지역예측학생수,2036_해당지역예측학생수
동구중학교,1999-03-01,본교,경기도 구리시 인창동 483-7,경기도 구리시 동구릉로103번길 75,경기도교육청,37.61261522,구리시,127.1350602,경기,4030718088,중학교,1387,1306,1279,1210,1241,1140,1024,979,920,887,817,811,791,766,754,7484.0,7079.0,6763.0,6650.0,6475.0,6363.0,6007.0,5764.0,5930.0,6139.0,6058.0,5833.0,5707.0,5701.0,5378.0,4949.0,4571.0,4276.0,4151.0,3964.0,3800.0,3509.0,3117.0,2824.0,2624.0
남평중학교,1967-03-03,본교,전라남도 나주시 남평읍 동사리 165,전라남도 나주시 남평읍 남평3로 40,전라남도교육청,35.04569913,나주시,126.8463686,전남,1586325526,중학교,173,165,157,135,144,155,151,125,108,119,160,201,234,245,239,3898.0,3770.0,3494.0,3135.0,2763.0,2546.0,2364.0,2215.0,2203.0,2181.0,2090.0,1876.0,1766.0,1819.0,1918.0,1998.0,2125.0,2356.0,2654.0,2734.0,2652.0,2442.0,2254.0,2113.0,2102.0
정수중학교,1970-03-20,본교,충청북도 영동군 양산면 송호리 70-1,충청북도 영동군 양산면 송호로1길 56,충청북도교육청,36.12676451,영동군,127.6780589,충북,8989093661,중학교,31,27,34,36,35,26,35,27,17,14,15,17,17,22,29,1791.0,1742.0,1695.0,1549.0,1327.0,1178.0,1087.0,1058.0,1038.0,995.0,963.0,952.0,941.0,968.0,904.0,863.0,778.0,728.0,772.0,812.0,805.0,722.0,596.0,505.0,393.0
선주중학교,2004-03-01,본교,경상북도 구미시 봉곡동 6,경상북도 구미시 야은로13길 27,경상북도교육청,36.14257948,구미시,128.3132347,경북,9378465116,중학교,1167,1154,1122,1117,1086,1003,860,813,808,746,665,646,653,594,523,19646.0,19643.0,18862.0,17343.0,15825.0,15043.0,14803.0,14496.0,14818.0,14911.0,14444.0,14001.0,14243.0,15241.0,15255.0,15093.0,14467.0,13963.0,12773.0,11373.0,9978.0,8946.0,7995.0,7305.0,6471.0
화령중학교,1952-09-09,본교,경상북도 상주시 화서면 달천리 503-1,경상북도 상주시 화서면 중화로 2187,경상북도교육청,36.44245211,상주시,127.9458942,경북,9979186058,중학교,88,79,86,76,68,60,45,50,48,54,49,39,41,39,49,3491.0,3344.0,3158.0,2855.0,2518.0,2283.0,2165.0,2015.0,2019.0,2017.0,2090.0,2084.0,2033.0,1987.0,1872.0,1785.0,1692.0,1625.0,1521.0,1413.0,1340.0,1251.0,1109.0,995.0,929.0
매곡중학교,2007-02-21,본교,울산광역시 북구 매곡동 490-1,울산광역시 북구 매곡1로 59,울산광역시교육청,35.64485557,울산광역시 북구,129.3493936,울산,4325846374,중학교,827,818,836,887,899,906,884,839,824,897,992,1051,1066,1076,1037,6120.0,7214.0,6464.0,5666.0,4995.0,4840.0,5045.0,5392.0,5836.0,6315.0,6496.0,6639.0,6792.0,6997.0,6857.0,6578.0,6506.0,6483.0,6241.0,5809.0,5657.0,5622.0,5380.0,4825.0,4263.0
반여중학교,1991-05-13,본교,부산광역시 해운대구 반여동 1594-74,부산광역시 해운대구 재반로256번길 57-12,부산광역시교육청,35.19992192,부산광역시 해운대구,129.1361577,부산,7059205114,중학교,895,824,731,649,617,559,475,386,299,260,234,207,179,144,152,15190.0,15185.0,14377.0,12829.0,11206.0,10019.0,9459.0,9196.0,9727.0,10077.0,10189.0,9911.0,10090.0,10334.0,10114.0,9713.0,9262.0,8959.0,8142.0,7204.0,6307.0,5760.0,5253.0,4817.0,4487.0
전주화정중학교,2020-05-01,본교,전북특별자치도 전주시 덕진구 송천동2가 1340,전북특별자치도 전주시 덕진구 세병로 66,전북특별자치도교육청,35.87164049,덕진구,127.130461,전북,3306782901,중학교,0,0,0,0,0,0,0,0,0,0,0,646,859,920,920,12254.0,12609.0,12264.0,11477.0,9934.0,9072.0,8441.0,8077.0,8167.0,8380.0,8422.0,8322.0,8234.0,8394.0,8035.0,7704.0,7451.0,7138.0,6783.0,6213.0,5966.0,5661.0,5476.0,5152.0,4883.0
문래중학교,1986-05-04,본교,서울특별시 영등포구 문래동6가 44,서울특별시 영등포구 선유서로13길 6,서울특별시교육청,37.52041829,서울특별시 영등포구,126.8841404,서울,4780553221,중학교,775,745,718,734,721,707,661,630,622,634,622,623,639,623,622,17870.0,17678.0,16829.0,15724.0,14317.0,13730.0,13469.0,13398.0,13753.0,13875.0,13468.0,12860.0,12457.0,12388.0,11548.0,10978.0,10539.0,10373.0,9698.0,8785.0,8136.0,7627.0,7331.0,6960.0,6827.0
하남중학교,1994-06-07,본교,경기도 하남시 창우동 521-5,경기도 하남시 천현로 113,경기도교육청,37.53645843,하남시,127.222936,경기,7169804394,중학교,878,829,826,796,832,757,656,566,544,511,485,541,532,485,405,5084.0,4784.0,4436.0,4145.0,3729.0,3604.0,3424.0,3412.0,3544.0,3782.0,4008.0,4068.0,4102.0,4025.0,3728.0,3535.0,3466.0,3954.0,4662.0,5342.0,5723.0,5831.0,6152.0,6424.0,6487.0
순천신흥중학교,1995-01-03,본교,전라남도 순천시 해룡면 상삼리 611,전라남도 순천시 해룡면 신흥중1길 22,전라남도교육청,34.95132643,순천시,127.5266916,전남,3975817024,중학교,1079,1110,979,992,931,864,712,601,460,450,477,482,456,344,331,12280.0,11696.0,10999.0,10072.0,9040.0,8341.0,7744.0,7381.0,7202.0,7145.0,6947.0,6598.0,6487.0,6546.0,6525.0,6374.0,6284.0,6130.0,5947.0,5535.0,5366.0,5122.0,4963.0,4677.0,4458.0
수서중학교,1993-04-30,본교,서울특별시 강남구 수서동 710,서울특별시 강남구 광평로59길 57,서울특별시교육청,37.49120377,서울특별시 강남구,127.1023799,서울,5686913490,중학교,522,476,459,490,394,399,448,468,474,460,461,501,521,521,507,18180.0,18430.0,17340.0,15735.0,13885.0,12978.0,12490.0,12460.0,13165.0,13853.0,13867.0,13810.0,13985.0,14500.0,14215.0,14108.0,13800.0,13371.0,12173.0,10518.0,9145.0,8045.0,7309.0,6556.0,6496.0
비봉중학교,1961-03-02,본교,경기도 화성시 비봉면 삼화리 527-2,경기도 화성시 비봉면 양노로109번길 5,경기도교육청,37.23724717,화성시,126.8726902,경기,9496819734,중학교,177,166,177,174,169,146,155,146,136,119,147,147,160,154,159,7886.0,8077.0,8245.0,8327.0,8326.0,8884.0,9967.0,11347.0,13475.0,16299.0,19553.0,22360.0,23697.0,23810.0,22128.0,20411.0,19481.0,20218.0,20992.0,21444.0,21340.0,21178.0,20551.0,19838.0,19710.0
파주중학교,1966-12-18,본교,경기도 파주시 파주읍 연풍리 445,경기도 파주시 파주읍 술이홀로 377,경기도교육청,37.83304398,파주시,126.8296957,경기,2050865888,중학교,202,194,195,189,178,166,160,145,134,145,147,147,140,154,159,7115.0,7193.0,7266.0,7669.0,7848.0,7757.0,7582.0,7886.0,8943.0,9750.0,9896.0,10186.0,10853.0,12112.0,12293.0,12358.0,12054.0,11965.0,11363.0,10512.0,9713.0,8995.0,8310.0,7963.0,7700.0
화성중학교,1949-05-18,본교,경기도 화성시 향남읍 장짐리 161,경기도 화성시 향남읍 장짐길 4,경기도교육청,37.13902926,화성시,126.9064904,경기,5785243809,중학교,528,557,561,567,589,580,567,504,496,465,483,479,514,501,514,7886.0,8077.0,8245.0,8327.0,8326.0,8884.0,9967.0,11347.0,13475.0,16299.0,19553.0,22360.0,23697.0,23810.0,22128.0,20411.0,19481.0,20218.0,20992.0,21444.0,21340.0,21178.0,20551.0,19838.0,19710.0
녹동중학교,1970-03-17,본교,전라남도 고흥군 도양읍 봉암리 1824,전라남도 고흥군 도양읍 비봉로 60,전라남도교육청,34.53563455,고흥군,127.1366964,전남,4941581249,중학교,395,372,381,395,374,340,311,289,243,229,218,222,200,183,178,2409.0,2420.0,2318.0,2077.0,1827.0,1622.0,1533.0,1390.0,1378.0,1295.0,1318.0,1248.0,1183.0,1078.0,962.0,861.0,770.0,757.0,733.0,716.0,698.0,714.0,686.0,597.0,518.0
개림중학교,2001-01-01,본교,부산광역시 부산진구 개금동 445-1,부산광역시 부산진구 백양대로300번길 46,부산광역시교육청,35.15742419,부산광역시 부산진구,129.0179689,부산,9160043179,중학교,1072,1065,1013,951,882,861,777,685,628,610,615,612,606,568,557,13620.0,13383.0,12909.0,12127.0,11046.0,10309.0,9791.0,9536.0,9820.0,10042.0,10008.0,9744.0,9733.0,10033.0,9833.0,9572.0,9126.0,8748.0,8009.0,6998.0,6001.0,5181.0,4727.0,4530.0,4677.0
광석중학교,1986-11-14,본교,충청남도 논산시 광석면 천동리 642-1,충청남도 논산시 광석면 광석로 56-3,충청남도교육청,36.23858258,논산시,127.0813186,충남,4446152567,중학교,38,40,50,78,79,89,96,94,92,65,61,46,44,41,37,4701.0,4612.0,4274.0,3926.0,3491.0,3240.0,3077.0,3029.0,3042.0,3028.0,2963.0,2817.0,2818.0,2819.0,2694.0,2548.0,2434.0,2342.0,2187.0,2001.0,1895.0,1724.0,1549.0,1344.0,1238.0
진주동명중학교,1967-09-18,본교,경상남도 진주시 초전동 515,경상남도 진주시 대신로 454-25,경상남도교육청,35.20257652,진주시,128.1186019,경남,5596687734,중학교,1168,1112,1086,1021,970,912,897,837,780,709,689,680,687,696,693,13120.0,12832.0,12182.0,11338.0,10323.0,9674.0,9075.0,8733.0,8747.0,8877.0,8581.0,8352.0,8394.0,8647.0,8385.0,8217.0,8038.0,8048.0,7607.0,7081.0,6429.0,5955.0,5545.0,5363.0,5207.0
