index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
149,🇰🇷,Donghan Yu,2,0,0,0,0,151.79n=2,85.54n=2,75.56n=2,79.23n=2,5.35n=20,2.60n=12,3.51n=2,2.96n=2,5.25n=4,5.10n=4,5.53n=4
150,🇹🇷,Ege Alacan,1,0,0,0,0,151.49n=1,78.72n=1,75.72n=1,77.77n=1,5.37n=10,2.69n=6,2.67n=1,3.21n=1,5.27n=2,5.14n=2,5.27n=2
151,🇫🇷,Landry Le May 97,0,1,0,0,0,151.40n=1,87.74n=1,73.38n=1,82.02n=1,4.59n=10,3.10n=6,3.07n=2,2.71n=1,5.62n=2,5.48n=2,6.02n=2
152,🇧🇬,Deyan Mihaylov 113,2,0,0,0,0,151.32n=2,78.73n=2,72.80n=2,79.53n=2,5.25n=20,2.38n=12,2.82n=2,3.14n=2,5.33n=4,5.28n=4,5.29n=4
153,🇪🇸,André Zapata 190,1,0,0,0,0,151.05n=1,79.40n=1,71.88n=1,80.17n=1,5.13n=10,2.58n=6,2.21n=1,2.86n=1,5.30n=2,5.32n=2,5.27n=2
154,🇬🇧,Jedidiah Lincoln 192,1,0,0,0,0,149.80n=1,71.17n=1,65.01n=1,86.79n=1,4.09n=10,2.67n=6,3.91n=1,4.21n=1,5.90n=2,5.73n=2,5.66n=2
155,🇬🇧,Tao Macrae 150,2,0,0,0,1,149.74n=2,80.12n=2,70.32n=2,81.92n=2,4.38n=23,2.91n=15,3.31n=3,3.54n=2,5.43n=4,5.30n=4,5.60n=4
156,🇫🇷,Joshua Rols,0,1,0,0,0,148.77n=1,72.49n=1,66.43n=1,82.34n=1,3.83n=10,3.10n=6,2.97n=2,3.57n=1,5.70n=2,5.50n=2,5.54n=2
157,🇱🇹,Daniels Kockers,0,1,0,0,0,148.67n=1,74.14n=1,68.92n=1,81.75n=1,5.04n=10,2.00n=6,1.99n=2,2.50n=1,5.45n=2,5.32n=2,5.70n=2
158,🇬🇪,Konstantin Supatashvili 83,1,0,0,0,0,148.62n=1,79.46n=1,73.98n=1,75.64n=1,5.30n=10,2.61n=6,2.75n=1,2.57n=1,5.22n=2,4.98n=2,5.09n=2
159,🇧🇬,Beat Schümperli 139,0,1,0,0,0,147.93n=1,71.90n=1,65.77n=1,83.16n=1,4.60n=10,1.80n=6,2.94n=2,3.10n=1,5.48n=2,5.65n=2,5.65n=2
160,🇱🇻,Kirills Korkacs 178,2,0,0,0,0,147.40n=2,76.16n=2,71.66n=2,75.74n=2,5.05n=20,2.51n=12,2.70n=2,3.36n=2,5.05n=4,4.91n=4,5.08n=4
161,🇮🇱,Kirill Sheiko 159,1,0,0,0,0,145.85n=1,60.31n=1,61.95n=1,83.90n=1,3.77n=10,2.84n=6,3.77n=1,3.43n=1,5.68n=2,5.66n=2,5.70n=2
162,🇵🇱,Oscar Oliver 173,2,0,0,0,0,145.75n=2,78.12n=2,70.04n=2,77.22n=2,5.02n=20,2.36n=12,2.55n=2,3.18n=2,5.09n=4,5.13n=4,5.21n=4
163,🇨🇿,Jakub Tykal 176,2,0,0,0,0,144.99n=2,76.62n=2,73.88n=2,71.62n=2,4.79n=20,3.40n=12,2.84n=2,2.75n=2,4.81n=4,4.57n=4,5.00n=4
164,🇨🇿,Tadeas Vaclavik 134,1,0,0,0,0,143.75n=1,78.01n=1,71.88n=1,73.87n=1,4.87n=10,2.96n=6,3.63n=1,1.79n=1,4.90n=2,4.82n=2,5.11n=2
165,🇵🇱,Matvii Yefymenko 118,2,0,0,0,0,142.88n=2,82.24n=2,74.06n=2,69.82n=2,5.23n=20,2.72n=12,2.49n=2,2.93n=2,4.58n=4,4.45n=4,4.86n=4
166,🇪🇸,Iker Oyarzábal,0,2,0,0,0,142.38n=2,73.84n=2,69.17n=2,74.20n=2,4.42n=20,2.85n=12,2.41n=4,3.05n=2,4.98n=4,4.88n=4,4.92n=4
167,🇬🇧,Lucas Fitterer 192,1,0,0,0,0,142.26n=1,68.18n=1,64.13n=1,79.13n=1,4.11n=10,2.50n=6,4.40n=1,3.64n=1,5.29n=2,5.16n=2,5.38n=2
168,🇬🇧,Ken Fitterer 170,0,1,0,0,0,142.19n=1,67.53n=1,63.28n=1,83.91n=1,3.78n=10,2.77n=6,2.73n=2,3.40n=1,5.60n=2,5.50n=2,5.75n=2
169,🇦🇲,Mikayel Salazaryan,1,0,0,0,0,140.54n=1,90.51n=1,78.33n=1,64.21n=1,5.75n=10,2.58n=6,2.23n=1,3.14n=1,4.23n=2,4.23n=2,4.57n=2
170,🇹🇷,Mehmet Cenkay Karlikli 192,2,0,0,0,0,139.70n=2,76.98n=2,67.42n=2,74.78n=2,5.04n=20,1.92n=12,2.68n=2,2.82n=2,5.05n=4,4.83n=4,5.10n=4
171,🇭🇰,Chiu Hei Cheung 205,0,1,0,0,0,138.04n=1,78.76n=1,66.63n=1,73.41n=1,4.49n=10,2.39n=6,2.32n=2,2.80n=1,4.95n=2,4.80n=2,4.98n=2
172,🇱🇻,Janis Znotins 242,2,0,0,0,0,138.04n=2,70.62n=2,68.27n=2,70.78n=2,4.62n=20,2.86n=12,2.18n=2,2.78n=2,4.74n=4,4.67n=4,4.70n=4
173,🇭🇺,Aleksei Vlasenko 242,2,0,0,0,0,137.75n=2,77.14n=2,69.10n=2,69.15n=2,4.91n=20,2.49n=12,2.68n=2,2.43n=2,4.62n=4,4.54n=4,4.73n=4
174,🇦🇩,Raul García Shibinskaya,2,0,0,0,0,136.74n=2,66.20n=2,62.61n=2,74.13n=2,4.26n=20,2.46n=12,2.02n=2,3.22n=2,4.92n=4,4.93n=4,4.92n=4
175,🇦🇹,Daniel Ruis,1,0,0,0,0,136.67n=1,66.23n=1,58.66n=1,80.01n=1,3.22n=10,3.16n=6,3.87n=1,3.57n=1,5.43n=2,5.38n=2,5.36n=2
176,🇱🇻,Nikolajs Krivosheja 242,1,0,0,0,0,136.55n=1,61.42n=1,60.59n=1,76.96n=1,3.86n=10,2.91n=6,1.88n=1,2.64n=1,5.09n=2,5.12n=2,5.38n=2
177,🇩🇪,Soner Öztürk 242,1,0,0,0,0,136.32n=1,70.68n=1,63.39n=1,73.93n=1,4.48n=9,3.05n=6,1.90n=1,2.93n=1,4.98n=2,4.92n=2,5.04n=2
178,🇱🇹,Daniel Korabelnik 222,2,2,0,0,0,136.01n=4,76.22n=4,66.88n=4,71.38n=4,4.30n=41,2.76n=24,2.26n=6,2.88n=4,4.82n=8,4.56n=8,4.93n=8
