index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
102,🇫🇮,Olivia Lisko 87,0,2,1,0,0,147.61n=3,72.41n=3,73.12n=3,74.83n=3,4.45n=30,3.14n=18,3.17n=6,3.43n=3,6.22n=6,6.29n=6,6.19n=6
103,🇺🇸,Emilia Nemirovsky 217,1,0,0,0,0,147.05n=1,77.73n=1,77.34n=1,71.71n=1,4.89n=10,3.60n=6,3.49n=1,3.36n=1,5.96n=2,5.78n=2,6.10n=2
104,🇬🇧,Nina Povey 59,0,1,0,0,0,146.78n=1,78.80n=1,76.66n=1,71.12n=1,4.92n=10,2.84n=6,3.53n=2,3.30n=1,5.85n=2,6.08n=2,5.78n=2
105,🇦🇹,Stefanie Pesendorfer 101,0,2,0,0,0,146.30n=2,71.30n=2,71.74n=2,75.06n=2,4.22n=20,3.17n=12,3.54n=4,3.50n=2,6.26n=4,6.34n=4,6.30n=4
106,🇱🇻,Kira Baranovska 131,2,0,0,0,0,146.23n=2,79.33n=2,79.22n=2,68.00n=2,5.07n=20,3.42n=12,4.03n=2,4.00n=2,5.60n=4,5.56n=4,5.60n=4
107,🇨🇿,Jana Horcickova 112,2,0,0,0,0,146.02n=2,81.40n=2,78.02n=2,69.99n=2,5.11n=20,3.24n=12,3.56n=2,3.90n=2,5.86n=4,5.86n=4,5.83n=4
108,🇨🇦,Kara Yun 212,1,0,0,0,0,145.94n=1,82.96n=1,76.80n=1,72.14n=1,4.81n=10,3.48n=6,4.01n=1,3.86n=1,6.00n=2,5.88n=2,6.28n=2
109,🇷🇴,Julia Sauter 31,0,2,0,0,0,145.78n=2,74.04n=2,72.27n=2,76.01n=2,4.17n=20,3.26n=12,3.60n=4,3.80n=2,6.46n=4,6.39n=4,6.48n=4
110,🇬🇧,Kristen Spours 67,0,2,0,0,0,144.81n=2,69.50n=2,71.61n=2,73.20n=2,4.21n=20,3.01n=12,3.60n=4,4.30n=2,6.12n=4,6.09n=4,5.99n=4
111,🇰🇷,Yelim Kim 18,0,0,2,0,0,144.49n=2,63.31n=2,63.80n=2,81.69n=2,3.38n=20,3.10n=12,3.84n=4,3.68n=2,6.90n=4,6.64n=4,7.15n=4
112,🇱🇹,Jogailé Aglinskyte 236,0,3,0,0,0,143.35n=3,76.31n=3,73.61n=3,71.74n=3,4.44n=30,3.26n=18,3.08n=6,3.47n=3,5.97n=6,5.84n=6,6.00n=6
113,🇪🇪,Kristina Lisovskaja 86,0,3,0,0,0,143.21n=3,75.51n=3,73.42n=3,71.12n=3,4.41n=30,3.17n=18,3.32n=6,3.70n=3,5.73n=6,5.92n=6,5.88n=6
114,🇸🇮,Julija Lovrencic 124,2,2,0,0,0,143.12n=4,78.17n=4,76.97n=4,66.91n=4,4.95n=40,3.24n=24,3.15n=6,3.28n=4,5.51n=8,5.54n=8,5.55n=8
115,🇪🇪,Nataly Langerbaur 68,0,3,0,0,0,142.81n=3,70.84n=3,70.09n=3,73.05n=3,4.38n=30,2.84n=18,2.96n=6,3.33n=3,6.06n=6,6.02n=6,6.28n=6
116,🇸🇰,Olívia Lengyelová 147,1,0,0,0,0,142.23n=1,85.39n=1,79.93n=1,62.30n=1,5.45n=10,3.15n=6,2.79n=1,3.71n=1,5.14n=2,5.00n=2,5.23n=2
117,🇯🇵,Riria Kono,1,0,0,0,0,142.18n=1,72.11n=1,69.11n=1,76.07n=1,4.18n=10,3.58n=6,1.89n=1,4.00n=1,6.43n=2,6.25n=2,6.43n=2
118,🇺🇸,Wren Warne-Jacobsen,0,1,0,0,0,141.63n=1,62.74n=1,62.43n=1,79.20n=1,3.00n=10,3.58n=6,3.47n=2,4.00n=1,6.75n=2,6.75n=2,6.60n=2
119,🇩🇪,Kristina Isaev 69,0,2,0,0,0,141.50n=2,71.64n=2,67.78n=2,75.73n=2,3.81n=20,3.03n=12,3.98n=4,3.60n=2,6.31n=4,6.39n=4,6.21n=4
120,🇺🇦,Sofiia Rymshyna 308,1,0,0,0,0,141.12n=1,77.44n=1,76.74n=1,64.38n=1,5.43n=10,2.70n=6,2.97n=1,3.29n=1,5.39n=2,5.23n=2,5.41n=2
121,🇧🇪,Jade Hovine 72,0,2,0,0,0,141.03n=2,78.11n=2,69.40n=2,73.63n=2,3.74n=20,3.46n=12,3.70n=4,3.80n=2,6.18n=4,6.09n=4,6.11n=4
122,🇸🇰,Ema Doboszova 85,0,3,0,0,0,140.87n=3,78.81n=3,76.08n=3,67.13n=3,4.80n=30,2.95n=18,3.56n=6,3.23n=3,5.61n=6,5.55n=6,5.80n=6
123,🇲🇩,Anastasia Gracheva 88,0,1,0,0,0,140.81n=1,72.44n=1,71.61n=1,70.20n=1,4.59n=10,2.44n=6,3.63n=2,3.80n=1,5.80n=2,5.88n=2,5.85n=2
124,🇳🇿,Renee Tsai 336,1,0,0,0,0,140.17n=1,68.19n=1,70.70n=1,69.47n=1,4.27n=10,3.46n=6,3.82n=1,3.43n=1,5.74n=2,5.80n=2,5.72n=2
125,🇱🇹,Meda Variakojyte 74,1,2,0,0,0,139.70n=3,77.87n=3,74.78n=3,65.59n=3,5.11n=30,2.78n=18,2.25n=5,3.23n=3,5.53n=6,5.48n=6,5.44n=6
126,🇨🇳,Hongyi Chen 138,0,0,1,0,0,139.57n=1,75.68n=1,69.85n=1,72.72n=1,4.09n=10,3.29n=6,2.88n=2,3.43n=1,6.16n=2,5.91n=2,6.18n=2
