index,Nat,Skater,JGP,CS,GP,Ch,WD,Mean Event Total,Mean Event BV,Mean Event TES,Mean Event PCS,Mean Jump,Mean Spin,Mean Step Seq,Mean Chor Seq,Mean CO,Mean PR,Mean SS
1,🇺🇸,Amber Glenn 6,0,1,3,0,0,212.74n=4,100.54n=4,111.25n=4,101.73n=4,7.64n=40,3.61n=24,4.53n=8,4.18n=4,8.41n=8,8.48n=8,8.45n=8
2,🇯🇵,Mao Shimada 21,3,0,0,0,0,209.67n=3,103.71n=3,117.83n=3,92.84n=3,8.27n=30,4.26n=18,5.16n=3,4.33n=3,7.67n=6,7.73n=6,7.87n=6
3,🇯🇵,Kaori Sakamoto 1,0,1,3,0,0,208.54n=4,89.29n=4,103.29n=4,106.25n=4,6.59n=40,3.89n=24,4.84n=8,4.41n=4,8.88n=8,8.76n=8,8.97n=8
4,🇯🇵,Mone Chiba 8,0,1,3,0,0,206.67n=4,94.79n=4,106.38n=4,100.53n=4,6.82n=40,4.14n=24,4.42n=8,4.45n=4,8.34n=8,8.31n=8,8.37n=8
5,🇰🇷,Chaeyeon Kim 3,0,1,2,0,0,204.38n=3,94.45n=3,106.38n=3,98.33n=3,6.86n=30,4.11n=18,4.35n=6,4.38n=3,8.15n=6,8.06n=6,8.22n=6
6,🇯🇵,Rion Sumiyoshi 28,0,0,2,0,0,201.90n=2,95.57n=2,104.20n=2,98.20n=2,6.58n=20,3.92n=12,5.22n=4,4.40n=2,8.12n=4,8.09n=4,8.16n=4
7,🇯🇵,Wakaba Higuchi 43,0,0,3,0,0,199.66n=3,90.31n=3,101.13n=3,98.86n=3,6.52n=30,3.66n=18,4.96n=6,4.00n=3,8.11n=6,8.16n=6,8.38n=6
8,🇺🇸,Sarah Everhardt 35,0,2,2,0,0,196.61n=4,92.85n=4,105.10n=4,91.50n=4,7.11n=40,3.72n=24,3.98n=8,3.78n=4,7.71n=8,7.58n=8,7.60n=8
9,🇺🇸,Isabeau Levito 2,0,2,1,0,0,195.59n=3,85.73n=3,96.25n=3,100.34n=3,6.11n=30,3.75n=18,4.13n=6,4.40n=3,8.48n=6,8.34n=6,8.26n=6
10,🇯🇵,Ami Nakai 38,3,0,0,0,0,195.36n=3,94.07n=3,104.74n=3,90.95n=3,7.31n=30,3.77n=18,4.83n=3,4.24n=3,7.52n=6,7.57n=6,7.60n=6
11,🇯🇵,Hana Yoshida 4,0,1,3,0,0,195.33n=4,94.71n=4,100.44n=4,95.39n=4,6.49n=40,3.68n=24,4.62n=8,4.24n=4,7.88n=8,7.88n=8,8.04n=8
12,🇯🇵,Kaoruko Wada 114,3,0,0,0,0,194.70n=3,91.20n=3,104.83n=3,89.88n=3,7.20n=30,3.97n=18,4.58n=3,4.43n=3,7.43n=6,7.38n=6,7.59n=6
13,🇯🇵,Rino Matsuike 39,0,0,3,0,0,193.46n=3,89.16n=3,100.02n=3,94.77n=3,6.32n=30,3.89n=18,4.68n=6,4.12n=3,7.75n=6,7.70n=6,7.98n=6
14,🇺🇸,Elyce Lin-Gracey 20,0,2,2,0,0,193.41n=4,91.41n=4,101.51n=4,92.40n=4,6.60n=40,3.86n=24,3.90n=8,4.56n=4,7.71n=8,7.60n=8,7.76n=8
15,🇺🇸,Alysa Liu 51,0,2,2,0,0,192.23n=4,90.60n=4,97.69n=4,94.54n=4,6.32n=40,3.66n=24,4.29n=8,3.88n=4,7.85n=8,7.98n=8,7.81n=8
16,🇰🇷,Yuseong Kim 54,3,0,0,0,0,191.70n=3,95.80n=3,106.48n=3,85.55n=3,7.49n=30,3.88n=18,4.36n=3,3.95n=3,7.11n=6,7.13n=6,7.16n=6
17,🇨🇳,Yihan Wang 97,3,0,0,0,0,191.57n=3,91.86n=3,107.93n=3,83.64n=3,7.54n=30,4.00n=18,4.42n=3,4.10n=3,6.90n=6,6.81n=6,7.08n=6
18,🇺🇸,Bradie Tennell 26,0,1,2,0,0,191.13n=3,85.20n=3,93.97n=3,97.83n=3,5.88n=30,3.79n=18,3.98n=6,4.47n=3,8.20n=6,8.17n=6,8.07n=6
19,🇧🇪,Nina Pinzarrone 7,0,2,2,0,0,191.06n=4,90.82n=4,97.68n=4,93.63n=4,6.01n=40,3.91n=24,4.84n=8,4.50n=4,7.77n=8,7.84n=8,7.67n=8
20,🇨🇳,Shuxian Jin 220,1,0,0,0,0,189.89n=1,92.28n=1,109.65n=1,80.24n=1,7.63n=10,4.18n=6,3.87n=1,4.43n=1,6.52n=2,6.52n=2,6.73n=2
21,🇯🇵,Yuna Aoki 49,0,0,2,0,0,189.05n=2,86.90n=2,93.38n=2,96.17n=2,5.81n=20,3.66n=12,4.47n=4,4.39n=2,8.06n=4,7.99n=4,7.93n=4
22,🇨🇭,Kimmy Repond 12,0,2,2,0,0,187.35n=4,90.75n=4,95.23n=4,92.87n=4,6.14n=40,3.54n=24,4.32n=8,3.93n=4,7.71n=8,7.77n=8,7.76n=8
23,🇯🇵,Yo Takagi 83,2,0,0,0,0,187.00n=2,86.66n=2,98.89n=2,88.60n=2,6.65n=20,3.75n=12,4.98n=2,4.86n=2,7.30n=4,7.38n=4,7.36n=4
24,🇰🇷,Ahsun Yun 69,0,2,1,0,0,185.83n=3,91.82n=3,101.93n=3,83.90n=3,6.88n=30,3.56n=18,4.09n=6,3.59n=3,6.84n=6,6.76n=6,7.24n=6
25,🇬🇪,Anastasiia Gubanova 9,0,2,2,0,0,185.55n=4,88.57n=4,94.22n=4,91.84n=4,6.26n=40,3.44n=24,3.71n=8,3.58n=4,7.64n=8,7.63n=8,7.65n=8
26,🇯🇵,Rinka Watanabe 10,0,1,2,0,0,185.40n=3,89.58n=3,92.63n=3,94.10n=3,5.98n=30,3.55n=18,3.68n=6,4.17n=3,7.87n=6,7.74n=6,8.05n=6
27,🇰🇷,Jia Shin 24,2,0,0,0,0,183.52n=2,86.19n=2,95.64n=2,88.88n=2,6.28n=20,3.97n=12,4.66n=2,4.36n=2,7.41n=4,7.30n=4,7.49n=4
28,🇯🇵,Mei Okada 143,2,0,0,0,0,183.44n=2,89.46n=2,98.16n=2,85.78n=2,6.51n=20,4.03n=12,4.55n=2,4.36n=2,7.19n=4,7.14n=4,7.11n=4
29,🇨🇦,Katherine Medland-Spence 178,0,1,0,0,0,181.89n=1,88.88n=1,97.15n=1,84.74n=1,6.56n=10,3.33n=6,3.85n=2,3.90n=1,7.08n=2,6.95n=2,6.98n=2
30,🇫🇷,Stefania Gladki 50,3,0,0,0,0,180.11n=3,92.12n=3,100.21n=3,80.23n=3,6.94n=30,3.78n=18,4.18n=3,3.93n=3,6.70n=6,6.63n=6,6.57n=6
31,🇯🇵,Rena Uezono 40,2,0,0,0,0,179.29n=2,85.16n=2,95.90n=2,84.38n=2,6.51n=20,3.59n=12,5.02n=2,4.25n=2,6.93n=4,7.01n=4,7.16n=4
32,🇰🇿,Sofia Samodelkina 93,1,2,0,0,0,179.17n=3,89.88n=3,97.16n=3,82.34n=3,6.77n=30,3.19n=18,3.78n=5,4.00n=3,6.67n=6,6.83n=6,6.82n=6
33,🇨🇦,Uliana Shiryaeva 164,0,1,0,0,0,178.83n=1,90.21n=1,93.84n=1,84.99n=1,6.41n=10,3.08n=6,3.83n=2,3.60n=1,7.18n=2,6.88n=2,7.18n=2
34,🇰🇷,Nayeon Ko 127,2,0,0,0,0,178.50n=2,87.34n=2,95.86n=2,82.64n=2,6.30n=20,3.95n=12,4.96n=2,4.22n=2,6.76n=4,6.81n=4,7.05n=4
35,🇮🇹,Lara Naki Gutmann 17,0,3,2,0,0,178.07n=5,82.13n=5,89.80n=5,89.07n=5,5.56n=50,3.63n=30,4.25n=10,3.94n=5,7.53n=10,7.40n=10,7.36n=10
36,🇪🇪,Elina Goidina 64,2,0,0,0,0,177.11n=2,88.18n=2,98.44n=2,79.16n=2,7.10n=20,3.30n=12,3.56n=2,4.14n=2,6.64n=4,6.55n=4,6.48n=4
37,🇬🇪,Inga Gurgenidze 41,2,0,0,0,0,175.05n=2,92.06n=2,97.98n=2,78.07n=2,6.91n=20,3.50n=12,3.84n=2,4.07n=2,6.40n=4,6.36n=4,6.57n=4
38,🇨🇦,Madeline Schizas 15,0,3,2,0,0,174.85n=5,83.46n=5,88.13n=5,87.32n=5,5.73n=50,3.44n=30,3.32n=10,3.59n=5,7.26n=10,7.30n=10,7.37n=10
39,🇯🇵,Mai Mihara 14,0,0,2,0,0,174.84n=2,79.37n=2,83.65n=2,91.18n=2,4.65n=20,3.94n=12,4.75n=4,3.96n=2,7.59n=4,7.58n=4,7.76n=4
40,🇪🇪,Niina Petrõkina 16,0,2,2,0,0,174.26n=4,81.38n=4,85.84n=4,88.67n=4,5.25n=40,3.68n=24,3.67n=8,3.94n=4,7.42n=8,7.37n=8,7.34n=8
41,🇺🇸,Sophie Joline Von Felten 194,2,0,0,0,0,173.83n=2,95.86n=2,96.74n=2,78.09n=2,6.79n=20,3.54n=12,3.82n=2,3.78n=2,6.43n=4,6.49n=4,6.64n=4
42,🇫🇷,Lorine Schild 19,0,2,2,0,0,173.53n=4,90.34n=4,91.09n=4,83.20n=4,5.87n=40,3.46n=24,3.80n=8,3.98n=4,6.98n=8,6.86n=8,6.99n=8
43,🇨🇭,Livia Kaiser 25,0,3,2,0,0,173.07n=5,84.51n=5,89.90n=5,83.57n=5,6.08n=50,2.98n=30,3.81n=10,3.60n=5,7.02n=10,6.87n=10,6.94n=10
44,🇺🇸,Lindsay Thorngren 23,0,1,2,0,0,173.04n=3,83.65n=3,84.62n=3,89.42n=3,5.02n=30,3.86n=18,3.59n=6,4.11n=3,7.60n=6,7.31n=6,7.47n=6
45,🇮🇹,Anna Pezzetta 46,2,2,0,0,0,171.44n=4,77.26n=4,87.20n=4,84.98n=4,5.57n=40,3.64n=24,3.98n=6,3.68n=4,7.09n=8,7.00n=8,7.23n=8
46,🇮🇱,Mariia Seniuk 44,0,3,0,0,0,171.21n=3,87.80n=3,90.43n=3,80.78n=3,5.77n=30,3.60n=18,3.84n=6,3.50n=3,6.64n=6,6.58n=6,6.80n=6
47,🇨🇳,Shiqi Gao 156,1,0,0,0,0,170.27n=1,86.26n=1,95.21n=1,76.06n=1,6.32n=10,3.92n=6,3.91n=1,4.57n=1,6.16n=2,6.32n=2,6.28n=2
48,🇰🇷,Yujae Kim 56,2,0,0,0,0,169.49n=2,91.01n=2,91.68n=2,79.30n=2,6.03n=20,3.81n=12,4.76n=2,3.72n=2,6.62n=4,6.49n=4,6.76n=4
49,🇨🇦,Fée Ann Landry 172,0,1,0,0,0,169.03n=1,81.26n=1,88.54n=1,81.49n=1,5.55n=10,3.66n=6,3.73n=2,3.60n=1,6.58n=2,6.62n=2,6.88n=2
50,🇰🇷,Seoyoung Kim 123,0,2,0,0,0,168.48n=2,88.26n=2,89.60n=2,79.38n=2,5.53n=20,3.85n=12,3.90n=4,3.45n=2,6.52n=4,6.40n=4,6.80n=4
51,🇺🇸,Josephine Lee 81,1,0,0,0,0,166.54n=1,81.48n=1,87.50n=1,79.04n=1,5.80n=10,3.50n=6,4.29n=1,4.21n=1,6.57n=2,6.68n=2,6.62n=2
52,🇫🇮,Iida Karhunen 37,2,0,0,0,0,166.30n=2,90.29n=2,91.28n=2,75.52n=2,6.11n=20,3.73n=12,3.94n=2,3.86n=2,6.30n=4,6.21n=4,6.20n=4
53,🇨🇭,Leandra Tzimpoukakis 95,2,0,0,0,0,166.30n=2,88.55n=2,92.22n=2,74.08n=2,6.57n=20,3.21n=12,3.38n=2,3.86n=2,6.04n=4,6.22n=4,6.01n=4
54,🇰🇷,Seojin Youn 115,1,0,0,0,0,166.27n=1,82.15n=1,85.84n=1,82.43n=1,5.37n=10,3.74n=6,5.07n=1,4.64n=1,6.96n=2,6.70n=2,7.09n=2
55,🇯🇵,Ikura Kushida 58,1,0,0,0,0,166.01n=1,85.96n=1,84.86n=1,83.15n=1,5.38n=10,3.69n=6,4.96n=1,4.00n=1,7.08n=2,6.95n=2,6.93n=2
56,🇦🇹,Olga Mikutina 29,0,1,2,0,0,165.85n=3,75.06n=3,77.35n=3,88.83n=3,4.24n=30,3.81n=18,4.06n=6,3.95n=3,7.52n=6,7.40n=6,7.36n=6
57,🇮🇹,Marina Piredda 66,0,2,0,0,0,165.56n=2,76.72n=2,84.42n=2,81.63n=2,5.33n=20,3.38n=12,3.50n=4,3.90n=2,6.76n=4,6.75n=4,6.81n=4
58,🇨🇳,Xiangyi An 80,0,0,1,0,0,163.74n=1,81.40n=1,84.06n=1,79.68n=1,5.48n=10,3.39n=6,2.90n=2,3.14n=1,6.68n=2,6.75n=2,6.64n=2
59,🇰🇷,Jeongyoul Hwang 137,2,0,0,0,0,163.53n=2,86.74n=2,89.16n=2,76.38n=2,5.82n=20,3.80n=12,4.36n=2,3.78n=2,6.42n=4,6.26n=4,6.68n=4
60,🇨🇦,Sara-Maude Dupuis 76,0,2,1,0,0,163.45n=3,81.28n=3,82.09n=3,82.36n=3,5.08n=30,3.51n=18,3.43n=6,3.33n=3,6.84n=6,6.91n=6,6.86n=6
61,🇵🇱,Ekaterina Kurakova 13,0,1,2,0,0,163.43n=3,78.32n=3,77.63n=3,86.47n=3,4.56n=30,3.18n=18,4.53n=6,3.85n=3,7.16n=6,7.44n=6,7.01n=6
62,🇧🇬,Alexandra Feigin 45,0,2,0,0,0,162.90n=2,80.80n=2,85.33n=2,78.07n=2,5.69n=20,2.96n=12,3.62n=4,3.50n=2,6.49n=4,6.38n=4,6.60n=4
63,🇸🇰,Alica Lengyelova 129,2,0,0,0,0,162.82n=2,88.31n=2,91.06n=2,72.76n=2,6.65n=20,2.72n=12,4.40n=2,3.86n=2,5.92n=4,6.07n=4,6.20n=4
